t,x,y,z,diff_norm
0.0,1.0,0.0,0.0,9.999999999177334e-07
0.0025,0.9761698694952203,0.06906561380825815,8.51321846989245e-05,9.786100794807127e-07
0.005,0.9546111925034866,0.13637239109291244,0.00033172362242584304,9.643028492364813e-07
0.0075,0.9352264515250586,0.20207972893593928,0.000727991853060927,9.568099985598476e-07
0.01,0.9179244486609244,0.26633998858250807,0.00126389951253012,9.557845344995322e-07
0.0125,0.9026197708129188,0.3292992154849309,0.001930970328451747,9.608143773689245e-07
0.015,0.8892326957034054,0.3910972718904,0.002722188908685061,9.714420711121228e-07
0.0175,0.8776890333023931,0.4518680563824492,0.0036318629850846107,9.871862769795464e-07
0.02,0.8679194609687383,0.5117404155247526,0.004655460707439691,1.0075639254216301e-06
0.0225,0.8598594094452712,0.5708383042658444,0.00578957429610091,1.0321090726218403e-06
0.025,0.8534490819977358,0.629280776786198,0.007031827192919249,1.0603867921232424e-06
0.0275,0.8486331521237045,0.687182409560815,0.00838078764054213,1.0920022079680824e-06
0.03,0.845360220350373,0.7446540688557356,0.009835879213082037,1.1266055949420185e-06
0.0325,0.8435827738834774,0.801802971155054,0.011397370908854005,1.1638935646131603e-06
0.035,0.8432571935314604,0.8587327033901778,0.013066321397265704,1.2036074405435558e-06
0.0375,0.8443436684140763,0.9155433458079133,0.014844536866514005,1.245530860894716e-06
0.04,0.8468056108968925,0.972332329812458,0.016734522812835086,1.289486102162853e-06
0.0425,0.8506095909795609,1.029194536816795,0.01873947620082113,1.3353295723047894e-06
0.045,0.8557253073395661,1.0862223614268867,0.020863278512922176,1.382947716250327e-06
0.0475,0.8621256948174013,1.1435055872961724,0.023110461335235758,1.432252444553128e-06
0.05,0.8697865757011951,1.2011319030933898,0.025486204561756976,1.4831793135141821e-06
0.0525,0.8786863355909685,1.2591874182952971,0.027996337800626145,1.5356832937193123e-06
0.055,0.8888059201495048,1.317756668671085,0.030647340298052946,1.589735736942786e-06
0.0575,0.9001288121244608,1.3769226876766438,0.03344635080812179,1.6453221938395798e-06
0.06,0.9126411624695137,1.4367668414029733,0.036401153137168,1.702439285353376e-06
0.0625,0.926331484192066,1.497369303307293,0.039520203910094726,1.761095638792567e-06
0.065,0.9411903920337713,1.5588095164686948,0.042812674973138454,1.8213087575514726e-06
0.0675,0.9572106009849473,1.6211661965032482,0.046288453700675136,1.8831035572217142e-06
0.07,0.9743869165034178,1.6845173647892746,0.04995815497851636,1.94651162897177e-06
0.0725,0.9927163037957987,1.748940333288147,0.05383316512504404,2.0115690270263227e-06
0.075,1.0121978783733794,1.814511659931921,0.05792561089761341,2.0783180454871843e-06
0.0775,1.0328325539014813,1.8813078442439892,0.0622485001113981,2.1468061548955023e-06
0.08,1.0546230123721212,1.9494053951644594,0.06681573868157747,2.217084542439318e-06
0.0825,1.0775737041040123,2.0188808310501583,0.07164213062333662,2.289207619392261e-06
0.085,1.1016908419793576,2.0898107324225275,0.0767434178971932,2.363233308065025e-06
