t,x,x_dot,theta,theta_dot
0.0,0.0,0.0,0.15,0.0
0.0033333333333333335,0.0002171224205348633,0.13029401487797132,0.1493106495624606,-0.413953341807366
0.006666666666666667,0.00086879671599516,0.26074093162500944,0.14723777847455266,-0.8301858176559846
0.01,0.0019579238369308036,0.3931208698728328,0.1437654951383053,-1.2548273715116673
0.013333333333333334,0.0034851338432714566,0.5220051107291183,0.13888444701616365,-1.6702050011853529
0.016666666666666666,0.005408332336843581,0.6284621856091932,0.13272594324875867,-2.0138521380345784
0.02,0.007645663316542261,0.7080526879911077,0.12555293827674494,-2.270867058422734
0.023333333333333334,0.010107106569074245,0.7653336917235803,0.1176562217395084,-2.455934061242969
0.02666666666666667,0.012725775753709031,0.8027877206210609,0.10925147035294819,-2.5769668830025974
0.030000000000000002,0.01544024281804113,0.8232270172244408,0.10053716973770364,-2.6429855103694204
0.03333333333333333,0.018197696689702836,0.8292311078338737,0.09168419254659414,-2.662280794716195
0.03666666666666667,0.020953934858555186,0.8231570944036053,0.08283569861875054,-2.642445851898655
0.04,0.023673467509210417,0.8071320677713301,0.07410667554322298,-2.5903488644724986
0.043333333333333335,0.026326368239175207,0.783069356355907,0.06559412620640392,-2.5121824007568
0.04666666666666667,0.02888808350288693,0.7526698885814197,0.05737768527653383,-2.4134676481513586
0.05,0.03133934326989844,0.7174275204195942,0.04951989442277314,-2.2990697789631653
0.05333333333333334,0.03366621934449063,0.6786566287466623,0.04206581708944834,-2.1732672150765677
0.05666666666666667,0.035860007700445784,0.6374655729851952,0.03504346941208463,-2.0396721747341524
0.060000000000000005,0.03791453498885743,0.5948167800862266,0.02847263777356783,-1.9014240980418395
0.06333333333333334,0.039825876329637556,0.5515364410943637,0.02236578772118352,-1.7612192857779012
0.06666666666666667,0.04159236299404207,0.5083154924742812,0.01672803734295467,-1.6213139566193302
0.07,0.043215131968298674,0.4657174949924011,0.011555325118611206,-1.483546071765054
0.07333333333333333,0.04469776533745989,0.42417726109342324,0.006835604817431068,-1.349330958646662
0.07666666666666667,0.04604460256522804,0.38405029424025533,0.002554383149564028,-1.2198245076256258
0.08,0.0472605871302291,0.34562211730297543,-0.001304782596324914,-1.0959533091512599
0.08333333333333334,0.04835129734266637,0.30910859825035486,-0.004760385867928957,-0.9784157067861495
0.08666666666666667,0.049323460904270526,0.274651504516134,-0.0078346564016891,-0.8676670409809454
0.09000000000000001,0.05018444642865767,0.24232951329150038,-0.010551889973804233,-0.7639561021915069
0.09333333333333334,0.050941513410603004,0.21218897956242444,-0.012935998198022837,-0.6674263206368081
0.09666666666666668,0.051601792125437876,0.1842464887992655,-0.015010443699063049,-0.5781241383736944
0.1,0.052172362802637054,0.15848833114488511,-0.016798500158814726,-0.49599726566730706
0.10333333333333335,0.05266058676485654,0.1348624132266767,-0.018324335036600175,-0.42086823339616264
0.10666666666666667,0.05307361861234169,0.11329551447883082,-0.019611415882893342,-0.3524910766823655
0.11,0.05341819691053567,0.09370713196645795,-0.020681831507761803,-0.2905966476313179
0.11333333333333334,0.05370064460487613,0.07600965695735697,-0.02155629347245268,-0.23489319174432594
0.11666666666666667,0.05392698861147189,0.060105684962388946,-0.022254528322390436,-0.18505746966589892
0.12000000000000001,0.054103135401486785,0.04588167045519523,-0.022795851514177984,-0.1407139650994757
0.12333333333333334,0.05423455816889573,0.03322295708420747,-0.023198148569403537,-0.10148408781652124
0.12666666666666668,0.05432629360943816,0.02201823392783505,-0.023477868354162917,-0.0670006459139994
0.13,0.05438294238828091,0.012159534507882135,-0.02365002462117856,-0.03690784203151881
0.13333333333333333,0.05440877231101191,0.0035388149083254213,-0.02372853360293958,-0.010850023057039759
0.1366666666666667,0.05440777031559148,-0.003954578421136005,-0.023726383699707344,0.011536620442030625
0.14,0.0543835332433748,-0.01042525157501284,-0.023655282347440514,0.030595800577000704
0.14333333333333334,0.05433931065047731,-0.015971303419402793,-0.023525797624991615,0.046649695669048516
0.14666666666666667,0.054278008027796046,-0.020684444149371463,-0.02334736877705204,0.05999933930933218
0.15000000000000002,0.05420225522696231,-0.0246531591406643,-0.02312852934579339,0.07093498495564021
0.15333333333333335,0.05411439050333297,-0.027961363392549666,-0.022876855687119283,0.07973172059995587
0.15666666666666668,0.054016489273756414,-0.03068624752561119,-0.022599063470481327,0.08664250062407924
0.16,0.05391038211496936,-0.03289858744391453,-0.022301066770782703,0.09189917271703776
0.16333333333333333,0.05379768293190154,-0.034663264114028355,-0.021988070504576376,0.09571419739084377
