t,theta,theta_dot
0.685,-0.0542525617513155,-0.2629660312346307
0.6900000000000001,-0.0555606928371504,-0.2602741545542923
0.6950000000000001,-0.0568552060749184,-0.2575185445940411
0.7000000000000001,-0.0581357830756041,-0.2546998826894127
0.705,-0.0594021093923574,-0.2518188646109176
0.71,-0.0606538745204939,-0.2488762005640403
0.715,-0.0618907718974945,-0.2458726151892401
0.72,-0.063112498903006,-0.2428088475619508
0.725,-0.0643187568588404,-0.2396856511925804
0.73,-0.0655092510289754,-0.2365037940265117
0.735,-0.0666836906195541,-0.2332640584441017
0.74,-0.0678417887788853,-0.229967241260682
0.745,-0.0689832625974432,-0.2266141537265586
0.75,-0.0701078331078677,-0.2232056215270121
0.755,-0.071215225284964,-0.2197424847822975
0.76,-0.0723051693857362,-0.2162255919432953
0.765,-0.073377399284539,-0.2126558035340763
0.77,-0.0744316509090007,-0.2090340013149857
0.775,-0.0754676650877155,-0.2053610781588877
0.78,-0.0764851875709669,-0.2016379379686907
0.785,-0.0774839690307272,-0.1978654956773476
0.79,-0.0784637650606578,-0.1940446772478556
0.795,-0.0794243361761091,-0.1901764196732563
0.8,-0.0803654478141204,-0.1862616709766357
0.805,-0.0812868703334204,-0.182301390211124
0.81,-0.0821883790144264,-0.1782965474598961
0.8150000000000001,-0.0830697540592449,-0.174248123836171
0.8200000000000001,-0.0839307805916715,-0.1701571114832123
0.8250000000000001,-0.0847712486571908,-0.1660245135743277
0.8300000000000001,-0.0855909532229761,-0.1618513443128695
0.835,-0.086389694310003,-0.1576386278170274
0.84,-0.0871672778184447,-0.1533873876405415
0.845,-0.0879235127102,-0.1490986676592253
0.85,-0.088658212959746,-0.1447735230212172
0.855,-0.0893711981688799,-0.1404130158526004
0.86,-0.0900622935667189,-0.1360182152574036
0.865,-0.0907313300097005,-0.131590197317601
0.87,-0.0913781439815822,-0.1271300450931117
0.875,-0.0920025775934416,-0.1226388486218004
0.88,-0.0926044785836765,-0.1181177049194769
0.885,-0.0931837003180047,-0.1135677179798964
0.89,-0.0937401017894643,-0.1089899987747595
0.895,-0.0942735476184134,-0.1043856652537117
0.9,-0.0947839080525301,-0.0997558423443443
0.905,-0.0952710589668129,-0.0951016619521935
0.91,-0.0957348818635802,-0.090424262960741
0.915,-0.0961752637085776,-0.0857247880594556
