t,i,omega
0.098,1.064521722605603,0.537728236072162
0.1,1.0840052671822284,0.5591039748185884
0.102,1.103402422016975,0.5808642076715769
0.104,1.122713379297205,0.6030071321486452
0.106,1.141938331122134,0.625530949930664
0.108,1.1610774695028303,0.6484338668618577
0.11,1.1801309863622145,0.6717140929498032
0.112,1.1990990735350595,0.6953698423654309
0.114,1.217981922767992,0.7193993334430242
0.116,1.2367797257194904,0.74380078868022
0.118,1.2554926739598862,0.7685724347380078
0.12,1.2741209589713631,0.7937125024407305
0.122,1.292664772147958,0.8192192267760845
0.124,1.3111243047955607,0.8450908468951188
0.126,1.3294997481319129,0.8713256061122361
0.128,1.3477912932866092,0.8979217519051916
0.13,1.3659991313010973,0.9248775359150944
0.132,1.384123453128677,0.952191213946406
0.134,1.4021644496345012,0.9798610459669416
0.136,1.4201223115955752,1.0078852961078693
0.138,1.4379972297007573,1.0362622326637108
0.14,1.455789394550758,1.06499012809234
0.142,1.473498996658141,1.094067259014985
0.144,1.4911262264473222,1.123491906216226
0.146,1.5086712742545698,1.1532623546439975
0.148,1.5261343303280062,1.1833768934095867
0.15,1.5435155848276052,1.2138338157876336
0.152,1.5608152278251932,1.244631419216132
0.154,1.57803344930445,1.2757680052964275
0.156,1.5951704391609076,1.307241879793221
0.158,1.6122263872019509,1.3390513526345649
0.16,1.629201483146817,1.3711947379118643
0.162,1.6460959166265954,1.4036703538798798
0.164,1.6629098771842306,1.4364765229567231
0.166,1.6796435542745167,1.4696115717238605
0.168,1.6962971372641025,1.503073830926109
0.17,1.7128708154314882,1.5368616354716416
0.172,1.7293647779670276,1.570973324431983
0.174,1.7457792139729271,1.605407241042011
0.176,1.7621143124632448,1.6401617326999574
0.178,1.7783702623638926,1.6752351509674062
0.18,1.7945472525126347,1.7106258515692956
0.182,1.8106454716590876,1.7463321943939154
0.184,1.826665108464721,1.7823525434929102
0.186,1.8426063515028568,1.818685267081277
0.188,1.8584693892586703,1.8553287375373653
0.19,1.874254410129189,1.8922813314028797
0.192,1.889961602423292,1.9295414293828752
0.194,1.9055911543617132,1.9671074163457625
0.196,1.921143254077038,2.004977681323304
0.198,1.9366180881866704,2.043150612999823
0.2,1.952015841830324,2.081624598650988
0.202,1.967336703491752,2.120398039530479
0.204,1.982580861627276,2.159469341257756
0.206,1.997748504535042,2.198836913424313
0.208,2.0128398203550164,2.2384991695936813
0.21,2.027854997068988,2.2784545273014283
0.212,2.0427942225005684,2.3187014080551585
0.214,2.057657684315192,2.3592382373345138
0.216,2.072445570020113,2.400063444591171
0.218,2.087158066964412,2.441175463248844
0.22,2.101795362338988,2.4825727307032834
0.222,2.116357643176562,2.5242536883222773
0.224,2.1308450963516816,2.5662167814456485
0.226,2.145257908580713,2.6084604593852587
0.228,2.159596266421845,2.6509831754250035
0.23,2.17386035627509,2.693783386820817
0.232,2.188050364382281,2.73685955480067
0.234,2.202166476827075,2.780210144564568
0.236,2.2162088795349493,2.823833625284555
0.238,2.2301777582732054,2.867728470104711
0.24,2.244073298650965,2.911893156141151
0.242,2.257895686119175,2.956326164482031
0.244,2.271645105970601,3.0010259801875376
0.246,2.2853217433398334,3.045991092289899
0.248,2.298925783203284,3.091219993793376
0.25,2.3124574103791864,3.1367111816742703
0.252,2.3259168095275973,3.182463156880916
0.254,2.3393041651503945,3.228474424333686
0.256,2.35261966159128,3.274743492924989
0.258,2.3658634830357754,3.321268875519271
0.26,2.379035813511227,3.3680490889530152
0.262,2.392136836886802,3.4150826540347383
0.264,2.4051667368734897,3.4623680955449974
0.266,2.418125697024103,3.509903942236384
0.268,2.431013900733276,3.557688726833525
0.27,2.443831531237464,3.605720986033088
0.272,2.4565787716149465,3.653999260503773
0.274,2.469255804785824,3.7025220948863184
0.276,2.4818628135120213,3.7512880377935
0.278,2.494399980397282,3.800295641810127
0.28,2.506867487887175,3.84954346349305
0.282,2.5192655182690893,3.899030063371152
0.284,2.5315942536722376,3.9487540059453545
0.286,2.543853876067654,3.998713859688615
0.288,2.5560445672681955,4.048908197045927
0.29,2.568166508928541,4.099335594434321
0.292,2.580219882545191,4.149994632242867
0.294,2.59220486945647,4.200883894832668
0.296,2.604121650842523,4.252001970536863
0.298,2.6159704077253183,4.303347451660631
0.3,2.6277513209686454,4.354918934481184
0.302,2.6394645712781166,4.406715019247773
0.304,2.6511103392011672,4.458734310181686
0.306,2.662688805127053,4.510975415476244
0.308,2.674200149286855,4.563436947296811
0.31,2.6856445517534726,4.616117521780778
0.312,2.69702219244163,4.669015759037582
0.314,2.7083332511078733,4.722130283148691
0.316,2.719577907350571,4.775459722167613
0.318,2.730756340609912,4.829002708119891
0.32,2.74186873016791,4.882757877003101
0.322,2.752915255148399,4.936723868786864
0.324,2.763896094517037,4.990899327412828
0.326,2.774811425788036,5.045282889610925
0.328,2.785661426110684,5.099873191046963
0.33,2.7964462746480403,5.154668888072808
0.332,2.807166150371881,5.209668640880163
0.334,2.8178212320424705,5.264871113336254
0.336,2.8284116982085585,5.320274972983834
0.338,2.838937727207384,5.375878891041182
0.34,2.849399497164671,5.431681542402103
0.342,2.859797185994632,5.487681605635926
0.344,2.870130971399965,5.5438777629875045
0.346,2.880401030871858,5.600268700377221
0.348,2.890607541689983,5.65685310740098
0.35,2.9007506809225005,5.713629677330213
0.352,2.9108306254260574,5.770597107111877
0.354,2.9208475518457897,5.827754097368457
0.356,2.9308016366153176,5.885099352397957
0.358,2.94069305595675,5.942631580173914
0.36,2.9505219858806826,6.000349492345386
0.362,2.9602886021861985,6.058251804236955
0.364,2.969993080460867,6.116337234848733
0.366,2.979635596080745,6.174604506856356
0.368,2.989216324210377,6.233052346610982
0.37,2.998735439802794,6.291679484139301
0.372,3.0081931175995136,6.350484653143523
0.374,3.017589532130541,6.409466591001386
0.376,3.02692485771437,6.468624038766151
0.378,3.036199268457978,6.527955741166609
0.38,3.045412938256832,6.587460446607071
