t,x,y,z
0.0,1.0,0.0,0.0
0.0025,0.9761698694952204,0.0690656138082581,8.51321846989245e-05
0.005,0.9546111925034866,0.1363723910929124,0.0003317236224258
0.0075,0.9352264515250586,0.2020797289359392,0.0007279918530609
0.01,0.9179244486609244,0.266339988582508,0.0012638995125301
0.0125,0.9026197708129188,0.3292992154849309,0.0019309703284517
0.015,0.8892326957034054,0.3910972718904,0.002722188908685
0.0175,0.8776890333023931,0.4518680563824492,0.0036318629850846
0.02,0.8679194609687383,0.5117404155247526,0.0046554607074396
0.0225,0.8598594094452712,0.5708383042658444,0.0057895742961009
0.025,0.8534490819977358,0.629280776786198,0.0070318271929192
0.0275,0.8486331521237045,0.687182409560815,0.0083807876405421
0.03,0.845360220350373,0.7446540688557356,0.009835879213082
0.0325,0.8435827738834774,0.801802971155054,0.011397370908854
0.035,0.8432571935314604,0.8587327033901778,0.0130663213972657
0.0375,0.8443436684140763,0.9155433458079132,0.014844536866514
0.04,0.8468056108968925,0.972332329812458,0.016734522812835
0.0425,0.8506095909795609,1.029194536816795,0.0187394762008211
0.045,0.8557253073395661,1.0862223614268869,0.0208632785129221
0.0475,0.8621256948174013,1.1435055872961724,0.0231104613352357
0.05,0.8697865757011951,1.2011319030933898,0.0254862045617569
0.0525,0.8786863355909685,1.2591874182952971,0.0279963378006261
0.055,0.8888059201495048,1.317756668671085,0.0306473402980529
0.0575,0.9001288121244608,1.3769226876766438,0.0334463508081217
0.06,0.9126411624695135,1.4367668414029733,0.036401153137168
0.0625,0.926331484192066,1.497369303307293,0.0395202039100947
0.065,0.9411903920337712,1.5588095164686948,0.0428126749731384
0.0675,0.9572106009849471,1.6211661965032482,0.0462884537006751
0.07,0.9743869165034178,1.6845173647892746,0.0499581549785163
0.0725,0.9927163037957988,1.748940333288147,0.053833165125044
0.075,1.0121978783733794,1.814511659931921,0.0579256108976134
0.0775,1.032832553901481,1.8813078442439888,0.0622485001113981
0.08,1.0546230123721212,1.9494053951644597,0.0668157386815774
0.0825,1.0775737041040123,2.0188808310501583,0.0716421306233366
0.085,1.1016908419793576,2.0898107324225275,0.0767434178971932
0.0875,1.1269825083259115,2.162271676384372,0.0821363599402163
0.09,1.1534586015189798,2.2363402156762056,0.0878386647680941
0.0925,1.1811305865891586,2.3120935186359963,0.0938692541391107
0.095,1.2100114832161315,2.389609408902886,0.1002482840448038
0.0975,1.2401158657286695,2.4689663654171885,0.1069971447099651
0.1,1.271459862909288,2.550243525498685,0.11413846415353
0.1025,1.304061201861913,2.6335208207537733,0.1216963658306892
0.105,1.3379393204377776,2.718878588116639,0.1296962093983071
0.1075,1.3731151608199523,2.8063981057190164,0.1381649149185819
0.11,1.4096111154600373,2.896161864715964,0.1471312107975211
0.1125,1.447451027078161,2.9882535692858663,0.1566256337849413
0.115,1.486660188662982,3.082758136630434,0.1666805289744685
0.1175,1.5272653434716874,3.1797616969747047,0.1773300498035379
0.12,1.5692947350288051,3.279351695722904,0.1886105325047461
0.1225,1.6127782194540603,3.3816166314758096,0.2005603357481053
0.125,1.657747115786344,3.48664621639933,0.2132197729646614
0.1275,1.70423418485537,3.594531793418391,0.2266319369566354
0.13,1.7522736295536512,3.7053663387695055,0.2408427061456848
0.1325,1.8019010948365015,3.8192444620007775,0.2559007445729037
0.135,1.853153667722036,3.9362624059718994,0.2718575018988227
0.1375,1.906069877291169,4.056518046854152,0.2887672134034089
0.14,1.96068976745028,4.18011087784516,0.3066875711159617
0.1425,2.0170549893243086,4.3071418422114,0.3256795847740106
0.145,2.0752086280049324,4.437713480196267,0.3458070392377497
0.1475,2.135195257778116,4.571930058816203,0.3671381204683704
0.15,2.197060943760994,4.70989757266038,0.3897454394267801
0.1525,2.2608532419018714,4.851723743890705,0.4137060320736019
0.155,2.326621198980227,4.997518022241817,0.439101359369176
0.1575,2.3944153526067096,5.147391585021089,0.4660173072735585
0.16,2.46428773431287,5.301457307084919,0.4945442875656485
0.1625,2.5362919684840723,5.459829143682344,0.5247791460012373
0.165,2.6104832199378056,5.622622839809063,0.5568226582263989
0.1675,2.686918124777477,5.789955482476043,0.5907815339268048
0.17,2.7656548046097176,5.961945204201969,0.6267694850935988
0.1725,2.846752866544382,6.138711183013247,0.6649072260233965
0.175,2.930273403194549,6.320373642443999,0.7053224733182851
0.1775,3.0162789926765217,6.507053851536061,0.7481499458858238
0.18,3.1048336986098293,6.698874124839001,0.7935313649390445
0.1825,3.1960030248056666,6.895957330838575,0.841616198918562
0.185,3.2898538436438938,7.098425661191484,0.8925635646970989
0.1875,3.38645457788549,7.306402861892351,0.9465389307462656
0.19,3.485874883610169,7.520011675725328,1.0037180035255169
0.1925,3.5881856206145564,7.739373563039679,1.064287150003551
0.195,3.693458852412189,7.964608701749775,1.128443397658307
0.1975,3.801767846233519,8.19583598733509,1.196394434476969
0.2,3.913187073025906,8.433173032840214,1.268358608955963
0.2025,4.027792206640185,8.676736164096626,1.3445649338013417
0.205,4.145659555066992,8.926636983233266,1.4252558404760072
0.2075,4.266866567480131,9.1829851186739,1.510685360962697
0.21,4.391491595987952,9.445887149490158,1.6011197923370772
0.2125,4.519613244616541,9.715442870357387,1.6968405221159517
0.215,4.651310369309723,9.991745291554656,1.7981440282572512
0.2175,4.786662077929058,10.274880638964753,1.9053418791600405
0.22,4.925747730253845,10.564928354074183,2.018760733664516
0.2225,5.068646937981123,10.861961093973182,2.138742341052005
0.225,5.21543905434786,11.166042287585505,2.2656443168105214
0.2275,5.366202213206589,11.47722121407184,2.3998423354730543
0.23,5.52101507320215,11.795541272630867,2.5417276909772726
0.2325,5.679954463366792,12.121029067914776,2.6917100738536086
0.235,5.8430951871128025,12.453693487661196,2.850217832762244
0.2375,6.010510022232501,12.79352570269321,3.017697974493109
0.24,6.182269720898247,13.140499166919335,3.1946161639658834
0.2425,6.35844300966244,13.494569617333566,3.38145672423
0.245,6.539096188366216,13.85567345194706,3.578722453633294
0.2475,6.724290217423622,14.22371536825526,3.786934389606091
0.25,6.914084397550338,14.598582628104648,4.006634564882516
0.2525,7.108532475414792,14.980130165086782,4.238382548059943
0.255,7.3076816752762515,15.368176764892278,4.4827548164718864
0.2575,7.511572698984827,15.762505065310812,4.740344756188007
0.26,7.7202397259814655,16.162861556231125,5.011762662014107
0.2625,7.933710413297963,16.568956579641014,5.297635737492136
0.265,8.152005164121148,16.98046193335572,5.598606550621047
0.2675,8.375132486313596,17.396994072519355,5.915325489516972
0.27,8.603094181145774,17.818129798460426,6.248463513818967
0.2725,8.835879326385392,18.24338893961093,6.598696005722694
0.275,9.073462992884345,18.672230378159597,6.96669972972139
0.2775,9.3158062445787,19.10405205005182,7.3531528326058755
0.28,9.562856138488703,19.538190944989733,7.758734843464549
0.2825,9.814545724718789,19.973923106432164,8.184126673683389
0.285,10.07079125100888,20.410457566879103,8.6299997568142
0.2875,10.331488573501648,20.84692270531218,9.09700867934276
0.29,10.596517029063204,21.28237573194486,9.58580523526356
0.2925,10.865732006007631,21.715792190420384,10.097003383201594
0.295,11.138964662803978,22.146065461467504,10.631178027428705
0.2975,11.41602192807626,22.57200676290049,11.18886501786362
0.3,11.696686500603477,22.992345149619133,11.77056115007197
0.3025,11.98071660359119,23.405727914114355,12.376722172761156
0.305,12.26783931171956,23.8107205949456,13.007719255306768
0.3075,12.55775313726306,24.205783272490088,13.663879830904929
0.31,12.850124794879587,24.589295414385795,14.345443474149013
0.3125,13.144586807903607,24.95956350184976,15.052538970796537
0.315,13.44073750834614,25.31482102967808,15.785184317769152
0.3175,13.738141036894778,25.653228506245945,16.543286723152654
0.32,14.036327342913667,25.97287345350759,17.326642606196973
0.3225,14.334791981553307,26.27177860279532,18.134928059459902
0.325,14.632991221741992,26.54792424800437,18.96764529745366
0.3275,14.93034131599971,26.79921704690858,19.824153945572448
0.33,15.226223014638933,27.023557263140813,20.703635735420725
0.3325,15.51998177832211,27.218846235718,21.605088482236603
0.335,15.810927778061698,27.382986379041117,22.527326084891865
0.3375,16.098335895220135,27.51388118289521,23.46897852589194
0.34,16.381448415920477,27.60946538629033,24.428483881820927
0.3425,16.659472665317647,27.667731653890293,25.404059339099696
0.345,16.931585061284736,27.68673884094072,26.39371856242157
0.3475,17.19694098472379,27.66467416118497,27.39527713157651
0.35,17.45467487607445,27.599853934265177,28.40635249057194
0.3525,17.703900295090676,27.490723822082405,29.424364110161047
0.355,17.943718715748567,27.3359054856666,30.446553956190957
0.3575,18.173212934571783,27.13420440515121,31.46995986939597
0.36,18.391463925208495,26.884652706471435,32.4914700701536
0.3625,18.59756206329375,26.58654594552079,33.50785610085943
0.365,18.790607126449416,26.239443108151125,34.51577282592716
0.3675,18.96970910338692,25.843168103172108,35.51176215869157
0.37,19.134000363551188,25.39784810483276,36.49231156063837
0.3725,19.282632998267932,24.903925911544125,37.45384105004418
0.375,19.414801443713635,24.362166708269648,38.39279801260129
0.3775,19.529748410854147,23.7736640541252,39.30568343517192
0.38,19.62676488544471,23.139839882379093,40.18905190578822
0.3825,19.70519590377237,22.46243638159328,41.0395521871781
0.385,19.764445737820623,21.743527113680116,41.85396862398193
0.3875,19.80398883149919,20.985484939379575,42.62926532223149
0.39,19.823380015862604,20.190953635991107,43.362643447470695
0.3925,19.822254525876705,19.362847858730035,44.05154133015496
0.395,19.80032927454105,18.50432801169673,44.693654786812495
0.3975,19.75740641718222,17.618768886219662,45.28698012811312
0.4,19.69337860445958,16.70971695500594,45.82983185047285
0.4025,19.608232227406877,15.78083186797024,46.32087253252712
0.405,19.50204743246788,14.83588582348206,46.75911314659558
0.4075,19.374994991212706,13.878719524452247,47.14391441052416
0.41,19.227336276318077,12.913202876387274,47.47499751141502
0.4125,19.059420606644142,11.94317212589356,47.75243437209331
0.415,18.871682413464168,10.972392670868938,47.97664299927367
0.4175,18.66463994042917,10.00455257429067,48.14838289023281
0.42,18.43888695426515,9.043211853156324,48.26872529137097
0.4225,18.19508962474827,8.091774454468682,48.33903857724794
0.425,17.93397598625661,7.15344186131685,48.36094878728358
0.4275,17.65633453045959,6.231207569076403,48.336334378935774
0.43,17.36300605184212,5.327838864089049,48.26728908128395
0.4325,17.054877447933524,4.445857465497157,48.15609213591893
0.435,16.732869204775447,3.587522104296592,48.00516046340837
0.4375,16.397931948629765,2.75482367232778,47.81703488808096
0.44,16.051040284168693,1.9494866166089175,47.59435084681785
0.4425,15.693185324249106,1.1729672259102744,47.33980236578519
0.445,15.325363636273902,0.4264595232692074,47.05610299384728
0.4475,14.948573307913271,-0.2891021804952631,46.74597051369712
0.45,14.563809297002994,-0.9730315134860174,46.412105250045336
0.4525,14.172056702072553,-1.6248764438227596,46.057161188951646
0.455,13.774282799368605,-2.2444013118576693,45.68372133110113
0.4575,13.371434443369782,-2.8315790722951237,45.29428836300862
0.46,12.964434295401029,-3.3865720320982504,44.8912686648234
0.4625,12.554176622133976,-3.909713641925553,44.47695871953542
0.465,12.14152186696638,-4.401483661127755,44.05353173803936
0.4675,11.72729586288429,-4.8625027272275165,43.62303574921042
0.47,11.312287650395204,-5.293509211747883,43.18738676084792
0.4725,10.897248326276674,-5.695349676193436,42.748364850770926
0.475,10.48288769117497,-6.068942736587827,42.30761426973733
