t,theta,theta_dot,KE,PE,E,E_minus_E0
0.0,0.1,0.0,0.0,0.0490091386225667,0.0490091386225667,0.0
0.005,0.099987758176252,-0.004896629932622986,1.1988492348529696e-05,0.04899715013024891,0.04900913862259744,3.073929999430902e-14
0.01,0.09995103569307948,-0.009792065023758232,4.7942268714754654e-05,0.04896119635512503,0.049009138623839786,1.273085803443763e-12
0.015,0.0998898415592056,-0.01468511231658814,0.00010782626187540433,0.0489013124356199,0.0490091386974953,7.492859804836272e-11
0.02,0.099804190704225,-0.0195745768295965,0.00019158202902888805,0.04881755681724318,0.04900913884627207,2.2370536673088637e-10
0.025,0.0996941039861834,-0.024459263828008684,0.00029912779350406703,0.04871001120718474,0.0490091390006888,3.7812210307297534e-10
0.03,0.0995596082290443,-0.029337980698353538,0.00043035855572848237,0.04857878053705329,0.049009139092781775,4.702150752100565e-10
0.035,0.09940073622268879,-0.034209536948463404,0.0005851462091141414,0.04842399286783691,0.04900913907695106,4.54384356529669e-10
0.04,0.09921752672291564,-0.03907274420747407,0.0007633396699513493,0.04824579927383236,0.049009138943783705,3.212170043842555e-10
0.045,0.09901002445144133,-0.0439264162258248,0.0009647650212222021,0.048044373705608726,0.04900913872683093,1.0426422919485034e-10
0.05,0.09877828009589995,-0.04876936887525837,0.00118922567024551,0.047819912832072896,0.0490091385023184,-1.2024829743051413e-10
0.055,0.0985223503098433,-0.05360042014882099,0.0014365025200650677,0.047572635861718414,0.04900913838178348,-2.4078321975151695e-10
0.06,0.09824229756032053,-0.058418392846664474,0.0017063543113936095,0.04730278419649931,0.04900913850789292,-1.1467377741825047e-10
0.065,0.09793819012639197,-0.06322211141096137,0.0019985176856300063,0.04701062121257866,0.04900913889820867,2.756419675842281e-10
0.07,0.09761010229770158,-0.06801039942900743,0.002312707215246567,0.0466964322124167,0.049009139427663266,8.050965658035203e-10
0.075,0.09725811415461366,-0.07278208559185483,0.002648615991550041,0.04636052395432277,0.04900913994587281,1.3233061105233368e-09
0.08,0.09688231156626914,-0.0775360037379706,0.003005915937827295,0.046003224373250585,0.04900914031107788,1.6885111780995388e-09
0.085,0.09648278619058548,-0.08227099285323655,0.0033842581325286497,0.0456248822839976,0.04900914041652625,1.7939595503557726e-09
0.09,0.09605963547425671,-0.08698589707094928,0.0037832731446188913,0.04522586706509734,0.04900914020971623,1.5871495298580562e-09
0.095,0.0956129626527534,-0.09167956567182017,0.004202571380886794,0.044806568323559406,0.0490091397044462,1.0818795026512618e-09
0.1,0.09514287675032272,-0.09635085308397545,0.004641743445004911,0.04436739554065106,0.049009138985655974,3.630892739248104e-10
0.105,0.09464949257998838,-0.10099861888295608,0.005100360508132306,0.04390877769888914,0.04900913820702144,-4.155452579257535e-10
0.11,0.09413293074355064,-0.10562172779171781,0.0055779746908538675,0.043431162890456815,0.04900913758131068,-1.0412560189076991e-09
0.115,0.09359331762202469,-0.11021904975370146,0.006074119464304459,0.042935017898488095,0.049009137362792554,-1.2597741461117806e-09
0.12,0.09303078454718074,-0.11478946530488669,0.006588310672490893,0.04242082701423688,0.049009137686727766,-9.35838934124078e-10
0.125,0.0924454688206432,-0.11933185575829727,0.007120045899359533,0.04188909253793792,0.049009138437297456,-1.8526924439044024e-10
0.13,0.09183751370112539,-0.12384510587170874,0.007668805124187374,0.041340334300131426,0.0490091394243188,8.017521022085639e-10
0.135,0.09120706781158817,-0.12832810899340924,0.008234051778912161,0.04077508864712981,0.04900914042604197,1.8034752718998348e-09
0.14,0.09055428513923981,-0.13277976706219954,0.008815233270545985,0.04019390795736609,0.04900914122791208,2.6053453769381285e-09
0.145,0.0898793250355361,-0.13719899060739305,0.009411781511843763,0.03959736014223962,0.049009141654083384,3.031516683515978e-09
0.15,0.08918235221618026,-0.14158469874881582,0.010023113459896465,0.03898602813171622,0.04900914159161268,2.969045981293661e-09
0.155,0.088463536761123,-0.14593581919680654,0.010648631662321504,0.038360509344971275,0.04900914100729278,2.384726076332111e-09
0.16,0.0877230541145625,-0.15025128825221645,0.01128772481072532,0.037721415146338345,0.049009139957063665,1.334496964322529e-09
0.165,0.0869610850849444,-0.15453005080640952,0.011939768301115754,0.03706937028688339,0.04900913858799914,-3.456755715003368e-11
0.17,0.08617781584496184,-0.15877106034126234,0.012604124800944383,0.03640501233189119,0.04900913713283557,-1.489731130122074e-09
0.17500000000000002,0.08537343793155541,-0.16297327892916405,0.013280144822461554,0.035728991074587296,0.04900913589704885,-2.7255178530749546e-09
0.18,0.0845481482459132,-0.16713567723301648,0.013967167302069532,0.035041967936420185,0.049009135238489716,-3.384076983914408e-09
0.185,0.08370214823896839,-0.17125723777993837,0.014664520746007175,0.034344614686215254,0.04900913543222243,-3.1903442734848575e-09
0.19,0.08283564366670233,-0.17533695375778163,0.015371523676529227,0.0336376126504781,0.049009136327007326,-2.2955593745321856e-09
0.195,0.08194884709771331,-0.1793738194958205,0.0160874835602596,0.032921654136565594,0.04900913769682519,-9.257415112262635e-10
0.2,0.08104197583324989,-0.18336684101702191,0.016811699192280895,0.032197440070329604,0.049009139262610496,6.400437957410077e-10
0.20500000000000002,0.08011525182033706,-0.18731503643129166,0.01754346143662806,0.031465679295617714,0.04900914073224577,2.1096790703278856e-09
0.21,0.07916890165177635,-0.19121743593547433,0.018282053902868616,0.030727087936547975,0.04900914183941659,3.2168498906304244e-09
0.215,0.07820315656614568,-0.19507308181335345,0.019026753624079643,0.02998238875090841,0.04900914237498805,3.75242135280951e-09
0.22,0.07721825244779949,-0.1988810284356514,0.019776831735811188,0.029232310475039526,0.04900914221085072,3.5882840171419517e-09
