ic_index,t,v,iL
0,0.0,1.0,0.0
0,0.0033333333333333335,1.002216657087265,0.003337030856253537
0,0.006666666666666667,1.0044221457683862,0.006681431971204978
0,0.01,1.0066164092516487,0.010033166022426277
0,0.013333333333333334,1.00879939157483,0.013392195732021507
0,0.016666666666666666,1.0109710371624647,0.016758483496678335
0,0.02,1.0131312907141268,0.02013199128969709
0,0.023333333333333334,1.0152800975249203,0.023512680927437843
0,0.02666666666666667,1.0174174034854797,0.026900514069320397
0,0.030000000000000002,1.0195431550819687,0.030295452217824308
0,0.03333333333333333,1.0216572993960817,0.03369745671848889
0,0.03666666666666667,1.023759784105043,0.03710648875991315
0,0.04,1.0258505574816066,0.040522509373755906
0,0.043333333333333335,1.027929568394057,0.043945479434735674
0,0.04666666666666667,1.0299967663062084,0.04737535966063072
0,0.05,1.0320521012774053,0.05081211061227908
0,0.05333333333333334,1.034095523962522,0.054255692693578494
0,0.05666666666666667,1.0361269856119633,0.05770606615148647
0,0.060000000000000005,1.0381464380716634,0.06116319107602025
0,0.06333333333333334,1.040153833783087,0.06462702740025683
0,0.06666666666666667,1.0421491257832285,0.06809753490033293
0,0.07,1.044132267704613,0.07157467319544505
0,0.07333333333333333,1.0461032137752948,0.07505840174784938
0,0.07666666666666667,1.0480619188188587,0.07854867986286192
0,0.08,1.0500083382544194,0.08204546668885834
0,0.08333333333333334,1.051942428096622,0.08554872121727415
0,0.08666666666666667,1.0538641449556412,0.08905840228260445
0,0.09000000000000001,1.055773446037182,0.09257446856240427
0,0.09333333333333334,1.057670289142479,0.09609687857728821
0,0.09666666666666668,1.0595546326682976,0.09962559069093077
0,0.1,1.0614264356069325,0.10316056311006606
0,0.10333333333333335,1.0632856575462093,0.10670175388448805
0,0.10666666666666667,1.0651322586694825,0.11024912090705029
0,0.11,1.0669661997175743,0.11380262203321363
0,0.11333333333333334,1.0687874416586627,0.1173622163699862
0,0.11666666666666667,1.070595946632666,0.12092786163276953
0,0.12000000000000001,1.0723916775617204,0.12449951492960463
0,0.12333333333333334,1.0741745979625805,0.1280771332884355
0,0.12666666666666668,1.07594467194662,0.13166067365710915
0,0.13,1.0777018642198313,0.13525009290337556
0,0.13333333333333333,1.0794461400828261,0.13884534781488767
0,0.1366666666666667,1.0811774654308353,0.14244639509920154
0,0.14,1.082895806753708,0.14605319138377604
0,0.14333333333333334,1.084601131135913,0.14966569321597317
0,0.14666666666666667,1.0862934062565377,0.15328385706305786
