t,theta1,theta1_dot,theta2,E,E_minus_E0,abs_delta_theta2
0.0,1.2,0.0,1.0,11.637722832592521,0.0,0.0
0.005,1.1998440628818088,-0.06237127378884022,1.0000744605823815,11.63772261142266,-2.2116986109210757e-07,4.053568791739792e-08
0.01,1.199376321836902,-0.12472179140656663,1.0002977447053802,11.637721063882863,-1.7687096587337692e-06,1.6294253835091865e-07
0.015,1.1985968794952369,-0.1870526403833703,1.0006697610156208,11.637716867819869,-5.964772652689021e-06,3.6956469817717164e-07
0.02,1.1975058300830352,-0.24936458210889295,1.0011905026173469,11.637708693823827,-1.413876869449382e-05,6.643769960845702e-07
0.025,1.1961032633006985,-0.31165776655111027,1.0018600377544522,11.63769521782006,-2.761477246160382e-05,1.0529656755409178e-06
0.03,1.194389278525303,-0.3739310962029534,1.0026784759581142,11.637675122871904,-4.770972061685086e-05,1.5424353256854317e-06
0.035,1.192363985142032,-0.43618221152524206,1.0036459672574043,11.637647081299924,-7.575129259684843e-05,2.141411854283959e-06
0.04,1.1900275025441747,-0.4984074909466848,1.0047627021792878,11.637609760865503,-0.00011307172701791046,2.8600424888391984e-06
0.045,1.1873799748548532,-0.5606016715893994,1.0060288769345826,11.637561845392584,-0.00016098719993706823,3.710504538290138e-06
0.05,1.1844215750464022,-0.6227574502587078,1.0074446828945325,11.637501994863854,-0.00022083772866743345,4.7051819227483804e-06
0.055,1.1811524890825769,-0.6848659310419932,1.0090103438999822,11.637428894976187,-0.0002939376163340057,5.85998902447038e-06
0.06,1.1775729841385727,-0.746915173133293,1.0107259555701003,11.637341254465959,-0.00038157812656258727,7.192250806919986e-06
0.065,1.1736834113433203,-0.8088901280364289,1.0125914788353216,11.637237768554794,-0.0004850640377274118,8.72023167453051e-06
0.07,1.1694842057794852,-0.8707726395650071,1.0146067399373468,11.63711711388432,-0.0006057187082006976,1.0463135474259033e-05
0.075,1.1649758864834676,-0.932541443842418,1.0167714304291426,11.63697797506349,-0.0007448575290318615,1.2441105495364368e-05
0.08,1.1601590565774116,-0.9941721680989438,1.019085106865073,11.636819101783706,-0.0009037308088153395,1.4675471530667394e-05
0.085,1.1550344908406727,-1.055636288675365,1.0215469849231706,11.636639370895784,-0.0010834616967372313,1.7194879400106444e-05
0.09,1.1496030829058035,-1.116900874380221,1.0241560628547548,11.636437464615563,-0.0012853679769584403,2.0017840857589064e-05
0.095,1.1438658817201905,-1.1779288161055423,1.0269110374022978,11.636212111853101,-0.001510720739419824,2.317463207490711e-05
0.1,1.1378241834179752,-1.2386781802281677,1.0298100884973165,11.635962217569512,-0.001760615023009393,2.6694502264223985e-05
0.105,1.1314795313200536,-1.2991022086097437,1.0328508792603721,11.63568682524779,-0.0020360073447314164,3.060567367740852e-05
0.11,1.1248337159340778,-1.3591493185967256,1.0360305560010707,11.635385072948585,-0.0023377596439360104,3.493534160603495e-05
0.115,1.1178887749544542,-1.4187631030203764,1.0393457482180621,11.635056131611837,-0.0026667009806846664,3.9709674381605e-05
0.12,1.110646993262345,-1.4778823301967674,1.0427925685990413,11.634699113032745,-0.0030237195597759836,4.495381337576987e-05
0.125,1.1031109434413677,-1.5364419386081483,1.0463665135532703,11.63431363607749,-0.003409196515031354,5.0700166379646916e-05
0.13,1.0952836281807004,-1.5943720328876363,1.050062134929822,11.63389969623214,-0.0038231363603813406,5.697647498981162e-05
0.135,1.087168383127195,-1.6515947696872366,1.0538732833732745,11.63345514462016,-0.004267687972360434,6.380865908361955e-05
0.14,1.0787689467221577,-1.7080306246809864,1.0577929162223423,11.632979033952092,-0.0047437986404297305,7.122241800305851e-05
0.145,1.070089467158186,-1.7635987243012852,1.0618130796881906,11.632471604991725,-0.0052512276007963266,7.923978060930814e-05
0.15,1.0611345023791696,-1.8182168457388954,1.0659249088544351,11.631933928376924,-0.005788904215597412,8.787910528385012e-05
0.155,1.05190902008029,-1.871801416942941,1.070118627677142,11.631367398639203,-0.006355433953318723,9.715507992780203e-05
0.16,1.0424183977080212,-1.9242675166209098,1.0743835489848266,11.630773079914718,-0.006949752677803289,0.00010707872196324963
0.165,1.0326684224601288,-1.9755288742386505,1.0787080744784554,11.630150908815,-0.007571923777520695,0.0001176573783314705
0.17,1.02266527279994,-2.025499682765944,1.0830797272375172,11.629499907697069,-0.008222924895452621,0.0001288925562297205
0.17500000000000002,1.0124155729047024,-2.0741018524094783,1.0874849886265208,11.628822665825759,-0.008900166766762752,0.0001407955241712333
0.18,1.0019265014718453,-2.1212565549423688,1.0919090885594211,11.628119462606355,-0.009603369986166399,0.0001533589981757011
0.185,0.9912055236355501,-2.1668918498522616,1.09633657144395,11.627391286804537,-0.010331545787984453,0.00016656625121225233
0.19,0.9802603685364815,-2.2109437927008195,1.1007513412642518,11.626640021712296,-0.011082810880225225,0.00018039778677780838
0.195,0.9690990293217872,-2.253356435123722,1.1051366615808838,11.625868020058999,-0.011854812533522718,0.00019483133889797166
0.2,0.9577297631450984,-2.2940818248306654,1.109475155530816,11.625077732233429,-0.01264510035909261,0.00020984187212569338
0.20500000000000002,0.9461610911665296,-2.333080005605364,1.1137488058274316,11.62427143225728,-0.013451400335240393,0.00022540158154238377
0.21,0.9344017985526786,-2.370319017305548,1.1179389547605265,11.62345108418208,-0.014271748410441987,0.00024147989275702386
0.215,0.9224607771120006,-2.405775761495886,1.122026638857249,11.622617815055417,-0.01510501753710436,0.00025802654277073955
0.22,0.9103469444189857,-2.439439485314943,1.125992715132368,11.621774878255703,-0.01594795433681817,0.0002750092373278168
0.225,0.898069334083824,-2.471308351426351,1.1298177096009039,11.620926092104229,-0.016796740488292272,0.0002923785512483068
0.23,0.8856369005240716,-2.5013878955868654,1.1334822703568086,11.62007342344947,-0.017649409143050576,0.0003100845170980193
0.23500000000000001,0.8730585179453789,-2.5296910258497465,1.1369671698343335,11.619217853651971,-0.018504978940550032,0.00032807822143987586
0.24,0.8603429803414898,-2.556238022564759,1.1402533048080292,11.618360461749537,-0.019362370842983978,0.0003463118048321334
0.245,0.847499001494242,-2.581056538378173,1.1433216963927446,11.617503689291464,-0.02021914330105723,0.0003647384618301608
0.25,0.8345351975230602,-2.604180776638218,1.1461535391802478,11.616651706461305,-0.021071126131216644,0.00038330837504640947
0.255,0.8214599350563848,-2.6256465595334064,1.148730567181545,11.61580514080902,-0.02191769178350178,0.00040197113479245594
0.26,0.8082814017639113,-2.645495403959998,1.1510348387327018,11.614967420341783,-0.022755412250738516,0.00042068149195739757
0.265,0.7950075837517525,-2.663769658872515,1.1530489097001178,11.614140509898823,-0.023582322693698643,0.0004393930370740762
0.27,0.781646251998456,-2.6805115755201414,1.154755879954254,11.613324885597164,-0.024397946995357245,0.00045806190196873153
0.275,0.7682049623550049,-2.6957633074467187,1.1561393933696336,11.61252061846734,-0.025202214125181754,0.00047664675976299975
0.28,0.7546910555448167,-2.7095669104907483,1.1571836378248417,11.611728407614308,-0.02599442497821336,0.0004951088248719149
0.28500000000000003,0.741111657240171,-2.72196433822494,1.1578733452247487,11.610950521775493,-0.026772310817028355,0.0005134118401937116
0.29,0.7274737077501812,-2.732994647370956,1.158193817352436,11.6101884786104,-0.027534353982121118,0.0005315209003020627
0.295,0.7137839388026741,-2.7426931650639164,1.1581309566796802,11.609442100600571,-0.028280731991950248,0.0005494042743006133
0.3,0.700048915919631,-2.751092612689275,1.1576712175910993,11.608711836267307,-0.029010996325213867,0.0005670327989237833
0.305,0.6862750781847715,-2.7582216761467735,1.1568016021217817,11.607997799479039,-0.029725033113482624,0.0005843791898332285
0.31,0.6724687382435537,-2.76410500585044,1.1555096599572872,11.607299942000502,-0.030422890592019414,0.0006014180416187287
0.315,0.6586360823031742,-2.7687632167285905,1.1537834884336462,11.606618103702473,-0.031104728890047895,0.0006181258277977442
0.32,0.6447831701325683,-2.772212888223828,1.15161173253736,11.6059519369361,-0.03177089565642177,0.0006344809008156371
0.325,0.6309159893435847,-2.774466629647348,1.1489835388620422,11.605301838806618,-0.03242099378590346,0.0006504643474833927
0.33,0.6170405080244235,-2.7755321454125856,1.1458884934893176,11.60466700806337,-0.03305582452915168,0.0006660580131481186
0.335,0.6031626235288131,-2.7754125231100235,1.1423166662589994,11.604044377814919,-0.03367845477760234,0.0006812460978633528
0.34,0.5892882671524994,-2.7741072042299124,1.1382585341366747,11.603432406876493,-0.03429042571602814,0.0006960138617304601
0.34500000000000003,0.5754234063538332,-2.7716119961932253,1.133704979474327,11.602830639739004,-0.0348921928535173,0.0007103474126886056
0.35000000000000003,0.5615740447537705,-2.7679190723516576,1.128647290010338,11.602239096765594,-0.03548373582692754,0.0007242337065118676
0.355,0.5477462221358725,-2.7630169719876263,1.1230771588694852,11.601657569610097,-0.03606526298242407,0.0007376605468119024
0.36,0.5339460144463049,-2.7568906003142706,1.1169866845629433,11.601084827550515,-0.03663800504200587,0.000750616585036612
0.365,0.5201795337938385,-2.7495212284754524,1.1103683709882843,11.60051774079762,-0.037205091794900724,0.0007630913204696999
0.37,0.5064529786565367,-2.7408874286637404,1.1032150678821557,11.599953857480024,-0.037768975112497216,0.0007750771227523767
0.375,0.49277277290770305,-2.730965933266961,1.0955198199572804,11.599393227823246,-0.038329604769275605,0.0007865654523790955
0.38,0.47914543549328514,-2.7197295855654597,1.0872760233723446,11.598829495909948,-0.03889333668257322,0.0007975482019890734
0.385,0.46557762734193453,-2.70714998682972,1.0784773586160983,11.5982591753212,-0.039463657271321395,0.0008080180038128049
0.39,0.4520761553844486,-2.6931976105603175,1.06911778546367,11.597681020254585,-0.04004181233793602,0.0008179676753357068
0.395,0.4386479725537708,-2.6778418024879174,1.0591915429765661,11.597094854977076,-0.04062797761544523,0.0008273902192976745
0.4,0.4253001777849904,-2.661050780573277,1.0486931495026721,11.596500305460149,-0.04122252713237273,0.0008362788236928598
0.405,0.4120400160153427,-2.642791635007245,1.0376174026762517,11.595895439711015,-0.0418273928815065,0.0008446268617701147
