t,v,iL
0.0,1.0,0.0
0.0033333333333333,1.002216657087265,0.0033370308562535
0.0066666666666666,1.0044221457683862,0.0066814319712049
0.01,1.0066164092516487,0.0100331660224262
0.0133333333333333,1.00879939157483,0.0133921957320215
0.0166666666666666,1.0109710371624647,0.0167584834966783
0.02,1.0131312907141268,0.020131991289697
0.0233333333333333,1.0152800975249203,0.0235126809274378
0.0266666666666666,1.0174174034854797,0.0269005140693203
0.03,1.019543155081969,0.0302954522178243
0.0333333333333333,1.0216572993960815,0.0336974567184888
0.0366666666666666,1.023759784105043,0.0371064887599131
0.04,1.0258505574816066,0.0405225093737559
0.0433333333333333,1.027929568394057,0.0439454794347356
0.0466666666666666,1.0299967663062084,0.0473753596606307
0.05,1.032052101277405,0.050812110612279
0.0533333333333333,1.034095523962522,0.0542556926935784
0.0566666666666666,1.0361269856119633,0.0577060661514864
0.06,1.0381464380716634,0.0611631910760202
0.0633333333333333,1.040153833783087,0.0646270274002568
0.0666666666666666,1.0421491257832285,0.0680975349003329
0.07,1.044132267704613,0.071574673195445
0.0733333333333333,1.0461032137752948,0.0750584017478493
0.0766666666666666,1.048061918818859,0.0785486798628619
0.08,1.0500083382544194,0.0820454666888583
0.0833333333333333,1.051942428096622,0.0855487212172741
0.0866666666666666,1.0538641449556412,0.0890584022826044
0.09,1.055773446037182,0.0925744685624042
0.0933333333333333,1.057670289142479,0.0960968785772882
0.0966666666666666,1.0595546326682976,0.0996255906909307
0.1,1.0614264356069325,0.103160563110066
0.1033333333333333,1.0632856575462093,0.106701753884488
0.1066666666666666,1.0651322586694825,0.1102491209070502
0.11,1.0669661997175743,0.1138026220332136
0.1133333333333333,1.068787441658663,0.1173622163699862
0.1166666666666666,1.070595946632666,0.1209278616327695
0.12,1.0723916775617204,0.1244995149296046
0.1233333333333333,1.0741745979625803,0.1280771332884355
0.1266666666666666,1.07594467194662,0.1316606736571091
0.13,1.0777018642198313,0.1352500929033755
0.1333333333333333,1.079446140082826,0.1388453478148876
0.1366666666666667,1.0811774654308353,0.1424463950992015
0.14,1.082895806753708,0.146053191383776
0.1433333333333333,1.084601131135913,0.1496656932159731
0.1466666666666666,1.0862934062565377,0.1532838570630578
0.15,1.087972600389289,0.1569076393121981
0.1533333333333333,1.089638682402491,0.1605369962704648
0.1566666666666666,1.0912916217590891,0.1641718841648319
0.16,1.0929313885166472,0.1678122591421762
0.1633333333333333,1.0945579533273466,0.1714580772692779
0.1666666666666666,1.096171287437989,0.1751092945328196
0.17,1.0977713626899948,0.1787658668393874
0.1733333333333333,1.0993581515194029,0.1824277500154701
0.1766666666666666,1.100931626956872,0.1860948998074597
0.18,1.102491762627679,0.1897672718816509
0.1833333333333333,1.1040385327517197,0.1934448218242417
0.1866666666666666,1.10557191214351,0.1971275051413329
0.19,1.1070918762121833,0.2008152772589285
0.1933333333333333,1.108598400961493,0.2045080935229352
0.1966666666666666,1.110091462989811,0.2082059091991628
0.2,1.1115710394901288,0.2119086794733243
0.2033333333333333,1.113037108250056,0.2156163594510355
0.2066666666666667,1.1144896476518211,0.2193289041578152
0.21,1.115928636672273,0.2230462685390851
0.2133333333333333,1.1173540548828775,0.2267684074601702
0.2166666666666666,1.1187658824497215,0.2304952757062982
0.22,1.120164100133509,0.2342268279825999
0.2233333333333333,1.1215486892895643,0.2379630189141091
0.2266666666666666,1.12291963186783,0.2417038030457625
0.23,1.1242769104128678,0.2454491348424001
0.2333333333333333,1.1256205080638586,0.2491989686887645
0.2366666666666667,1.1269504085546018,0.2529532588895014
0.24,1.1282665962135163,0.2567119596691597
0.2433333333333333,1.1295690559636395,0.260475025172191
0.2466666666666666,1.1308577733226282,0.2642424094629502
0.25,1.132132734402758,0.268014066525695
0.2533333333333333,1.133393925910923,0.2717899502645859
0.2566666666666667,1.134641335148637,0.275570014503687
0.26,1.1358749500120329,0.2793542129869647
0.2633333333333333,1.1370947570455872,0.2831425003111391
0.2666666666666666,1.1383007403806722,0.2869348325642671
0.27,1.1394928899923422,0.2907311633714669
0.2733333333333334,1.1406711965893048,0.2945314462185738
0.2766666666666666,1.141835651303272,0.298335634597565
0.28,1.1429862456889586,0.3021436820065602
0.2833333333333333,1.1441229717240828,0.3059555419498205
0.2866666666666667,1.1452458218093664,0.3097711679377493
0.29,1.146354788768534,0.3135905134868922
0.2933333333333333,1.147449865848314,0.3174135321199364
0.2966666666666667,1.1485310467184382,0.3212401773657114
0.3,1.149598325471641,0.3250704027591887
0.3033333333333333,1.1506516966236608,0.3289041618414816
0.3066666666666667,1.1516911551132392,0.3327414081598458
0.31,1.1527166963021207,0.3365820952676785
0.3133333333333333,1.153728315975054,0.3404261767245194
0.3166666666666667,1.15472601033979,0.34427360609605
0.32,1.155709776027084,0.3481243369540937
0.3233333333333333,1.1566796100906938,0.3519783228766161
0.3266666666666666,1.157635510007381,0.3558355174477247
0.33,1.15857747367691,0.3596958742576691
0.3333333333333333,1.1595054994220495,0.3635593469028408
0.3366666666666666,1.1604195859885709,0.3674258889857735
0.34,1.1613197325452482,0.3712954541151426
0.3433333333333334,1.16220593868386,0.375167995905766
0.3466666666666667,1.163078204419188,0.3790434679786029
0.35,1.163936530189016,0.3829218239607553
0.3533333333333333,1.164780916854133,0.3868030174854667
0.3566666666666667,1.1656113656983296,0.3906870021921227
0.36,1.166427878428401,0.3945737317262511
0.3633333333333333,1.1672304571741448,0.3984631597395215
0.3666666666666667,1.1680191044883623,0.4023552398897456
0.37,1.1687938233468589,0.4062499258408771
0.3733333333333333,1.1695546171484414,0.4101471712630118
0.3766666666666667,1.170301489714922,0.4140469298323873
0.38,1.1710344452911148,0.4179491552313834
0.3833333333333333,1.171753488544838,0.4218538011485219
0.3866666666666667,1.1724586245669126,0.4257608212784666
0.39,1.1731498588711635,0.429670169322023
0.3933333333333333,1.1738271973944183,0.4335817989861393
0.3966666666666666,1.1744906464965086,0.4374956639839051
0.4,1.1751402129602686,0.4414117180345522
0.4033333333333334,1.1757759039915363,0.4453299148634545
0.4066666666666667,1.1763977272191528,0.4492502082021278
0.41,1.1770056906949626,0.45317255178823
0.4133333333333334,1.1775998028938135,0.457096899365561
0.4166666666666667,1.178180072713557,0.4610232046840626
0.42,1.178746509475047,0.4649514214998186
0.4233333333333333,1.179299122922142,0.4688815035750552
0.4266666666666667,1.1798379232217029,0.4728134046781402
0.43,1.1803629209635933,0.4767470785835834
