t,x,x_dot,theta,theta_dot,E,E_minus_E0
0.0,0.0,0.0,2.941592653589793,0.0,-1.1654671877173548,0.0
0.0033333333333333335,0.000126653252438758,0.11982143761802874,2.942042121387866,0.4126010091656927,-1.1618699632070904,0.0035972245102644518
0.006666666666666667,0.0008578204424888659,0.31882971988133213,2.944533499838767,1.0816623495474078,-1.1399918144247632,0.02547537329259164
0.01,0.00225191496835927,0.5175948356701494,2.9492496660748486,1.7475379866595124,-1.0983642977708103,0.06710288994654445
0.013333333333333334,0.004308287960192279,0.7162110264362381,2.956180605440073,2.4105775823906543,-1.0370917335160363,0.12837545420131846
0.016666666666666666,0.007026573996101126,0.9147532446149635,2.9653173253766663,3.0710406654174878,-0.9562692223478262,0.20919796536952862
0.02,0.010406615888822385,1.1132707934698234,2.976651503875619,3.7290667965287687,-0.855984985328404,0.30948220238895086
0.023333333333333334,0.014448370610358365,1.311780838559034,2.9901750489151806,4.384644964822889,-0.7363232634858403,0.4291439242315145
0.02666666666666667,0.019151797700460434,1.5102623497482683,3.005879576174556,5.037584924155016,-0.5973673649516864,0.5680998227656684
0.030000000000000002,0.024516682696015996,1.7086476160262876,3.0237555775569516,5.687476667188346,-0.43920497964005156,0.7262622080773032
0.03333333333333333,0.03054253668736276,1.9068184535508559,3.0437919483314686,6.3336722983060545,-0.2619308322814651,0.9035363554358897
0.03666666666666667,0.037228380671108445,2.1045987112852607,3.065974971050103,6.975250208682951,-0.0656525536196606,1.0998146340976942
0.04,0.044572501821911394,2.301748589360185,3.0902871625940276,7.610987848134651,0.1495032897882147,1.3149704775055695
0.043333333333333335,0.052575173308610244,2.4989917527216132,3.1167161942749546,8.242779045396441,0.38467288103938113,1.550140068756736
0.04666666666666667,0.061215683193103755,2.6823471464101583,3.1451777827181,8.823451288693025,0.6216841542515292,1.787151341968884
0.05,0.07042130225512175,2.8355228176239318,3.1754127396844964,9.298312243217161,0.8343004890229113,1.9997676767402661
0.05333333333333334,0.08008845172965239,2.9605487402539596,3.2070581889585155,9.67398286631147,1.019294598182937,2.184761785900292
0.05666666666666667,0.09012949978585154,3.0604382028334576,3.239804107207167,9.960554100627819,1.1765430157718684,2.342010203489223
