scenario,runtime_s,n_points,rtol,atol,settling_time_theta_eps0.05,x_max_abs
swingup,7.282982500000799,2401,0.0001,1e-06,,
lqr,0.030935800001316238,1801,0.0001,1e-06,0.24333333333333335,0.08167559248366627
