t,i,omega,v,E,E_minus_E0
1.676,1.7004011585499703,45.96164574745434,6.0,2.835313904814008,2.835313904814008
1.6765,1.7002427338943247,45.96416914976404,6.0,2.8354111841682323,2.8354111841682323
1.677,1.7000844746098758,45.96668891646972,6.0,2.8355082951458845,2.8355082951458845
1.6775,1.6999263805862246,45.96920505185842,6.0,2.835605237953051,2.835605237953051
1.678,1.6997684517129505,45.9717175602131,6.0,2.835702012795666,2.835702012795666
1.6785,1.6996106878796116,45.9742264458127,6.0,2.8357986198795153,2.8357986198795153
1.679,1.6994530889757447,45.97673171293209,6.0,2.8358950594102357,2.8358950594102357
1.6795,1.6992956548908653,45.979233365842106,6.0,2.8359913315933114,2.8359913315933114
1.68,1.6991383855144677,45.98173140880952,6.0,2.8360874366340783,2.8360874366340783
1.6805,1.6989812807360247,45.984225846097075,6.0,2.836183374737718,2.836183374737718
1.681,1.698824340444988,45.98671668196344,6.0,2.836279146109262,2.836279146109262
1.6815,1.6986675645307878,45.98920392066325,6.0,2.8363747509535875,2.8363747509535875
1.682,1.6985109528828328,45.9916875664471,6.0,2.836470189475422,2.836470189475422
1.6825,1.698354505390511,45.99416762356151,6.0,2.836565461879336,2.836565461879336
1.683,1.6981982219431881,45.99664409624897,6.0,2.8366605683697466,2.8366605683697466
1.6835,1.69804210243021,45.99911698874792,6.0,2.8367555091509193,2.8367555091509193
1.684,1.6978861467408997,46.00158630529275,6.0,2.836850284426962,2.836850284426962
1.6845,1.6977303547645595,46.00405205011379,6.0,2.8369448944018285,2.8369448944018285
1.685,1.697574726390471,46.00651422743734,6.0,2.8370393392793156,2.8370393392793156
1.6855,1.6974192615078938,46.00897284148564,6.0,2.8371336192630636,2.8371336192630636
1.686,1.697263960006066,46.01142789647687,6.0,2.8372277345565577,2.8372277345565577
1.6865,1.6971088217742047,46.01387939662518,6.0,2.8373216853631247,2.8373216853631247
1.687,1.6969538467015062,46.01632734614066,6.0,2.837415471885933,2.837415471885933
1.6875,1.6967990346771447,46.01877174922937,6.0,2.837509094327994,2.837509094327994
1.688,1.696644385590273,46.02121261009329,6.0,2.8376025528921587,2.8376025528921587
1.6885000000000001,1.6964898993300237,46.023649932930375,6.0,2.8376958477811205,2.8376958477811205
1.689,1.6963355757855068,46.02608372193452,6.0,2.8377889791974127,2.8377889791974127
1.6895,1.6961814148458119,46.028513981295575,6.0,2.8378819473434076,2.8378819473434076
1.69,1.6960274164000064,46.030940715199336,6.0,2.8379747524213164,2.8379747524213164
1.6905000000000001,1.6958735803371374,46.03336392782756,6.0,2.8380673946331907,2.8380673946331907
1.691,1.6957199065462298,46.035783623357936,6.0,2.8381598741809193,2.8381598741809193
1.6915,1.695566394916288,46.03819980596413,6.0,2.8382521912662306,2.8382521912662306
1.692,1.6954130453362943,46.04061247981574,6.0,2.838344346090687,2.838344346090687
1.6925000000000001,1.6952598576952103,46.043021649078334,6.0,2.8384363388556926,2.8384363388556926
1.693,1.6951068318819758,46.04542731791339,6.0,2.838528169762482,2.838528169762482
1.6935,1.6949539677855097,46.04782949047839,6.0,2.838619839012132,2.838619839012132
1.694,1.6948012652947093,46.05022817092674,6.0,2.8387113468055514,2.8387113468055514
1.6945000000000001,1.6946487242984507,46.05262336340778,6.0,2.838802693343484,2.838802693343484
1.695,1.6944963446855887,46.05501507206684,6.0,2.838893878826509,2.838893878826509
1.6955,1.694344126344957,46.05740330104517,6.0,2.8389849034550405,2.8389849034550405
1.696,1.6941920691653674,46.05978805447998,6.0,2.839075767429324,2.839075767429324
1.6965000000000001,1.6940401730356107,46.06216933650444,6.0,2.8391664709494404,2.8391664709494404
1.697,1.6938884378444568,46.064547151247666,6.0,2.839257014215303,2.839257014215303
1.6975,1.6937368634806536,46.06692150283471,6.0,2.839347397426655,2.839347397426655
1.698,1.693585449832928,46.069292395386604,6.0,2.8394376207830763,2.8394376207830763
1.6985000000000001,1.6934341967899855,46.071659833020306,6.0,2.839527684483973,2.839527684483973
1.699,1.693283104240511,46.074023819848726,6.0,2.8396175887285833,2.8396175887285833
1.6995,1.6931321720731667,46.07638435998075,6.0,2.839707333715978,2.839707333715978
1.7,1.6929814001765946,46.07874145752118,6.0,2.8397969196450568,2.8397969196450568
1.7005000000000001,1.692830788439415,46.08109511657081,6.0,2.8398863467145485,2.8398863467145485
1.701,1.6926803367502266,46.08344534122634,6.0,2.83997561512301,2.83997561512301
1.7015,1.6925300449976075,46.08579213558045,6.0,2.84006472506883,2.84006472506883
1.702,1.692379913070114,46.08813550372176,6.0,2.84015367675022,2.84015367675022
1.7025000000000001,1.692229940856281,46.09047544973486,6.0,2.840242470365225,2.840242470365225
1.703,1.6920801282446225,46.09281197770026,6.0,2.840331106111713,2.840331106111713
1.7035,1.6919304751236308,46.09514509169444,6.0,2.840419584187381,2.840419584187381
1.704,1.691780981381777,46.097474795789836,6.0,2.8405079047897512,2.8405079047897512
1.7045000000000001,1.691631646907511,46.09980109405481,6.0,2.840596068116172,2.840596068116172
1.705,1.6914824715892611,46.102123990553714,6.0,2.8406840743638173,2.8406840743638173
1.7055,1.6913334553154347,46.104443489346814,6.0,2.840771923729686,2.840771923729686
1.706,1.6911845979744178,46.10675959449034,6.0,2.8408596164106004,2.8408596164106004
1.7065000000000001,1.6910358994545744,46.10907231003649,6.0,2.840947152603209,2.840947152603209
1.707,1.6908873596442484,46.111381640033386,6.0,2.8410345325039823,2.8410345325039823
1.7075,1.6907389784317615,46.11368758852511,6.0,2.841121756309214,2.841121756309214
1.708,1.690590755705414,46.11599015955171,6.0,2.8412088242150206,2.8412088242150206
1.7085000000000001,1.6904426913534856,46.11828935714916,6.0,2.8412957364173415,2.8412957364173415
1.709,1.690294785264234,46.120585185349405,6.0,2.8413824931119374,2.8413824931119374
1.7095,1.6901470373258962,46.12287764818033,6.0,2.841469094494389,2.841469094494389
1.71,1.6899994474266875,46.12516674966578,6.0,2.8415555407601008,2.8415555407601008
1.7105000000000001,1.6898520154548016,46.127452493825544,6.0,2.841641832104296,2.841641832104296
1.711,1.6897047412984116,46.129734884675365,6.0,2.8417279687220187,2.8417279687220187
1.7115,1.6895576248456687,46.132013926226925,6.0,2.8418139508081293,2.8418139508081293
1.712,1.6894106659847032,46.134289622487884,6.0,2.841899778557313,2.841899778557313
1.7125000000000001,1.6892638646036238,46.13656197746183,6.0,2.841985452164069,2.841985452164069
1.713,1.6891172205905178,46.138830995148304,6.0,2.842070971822717,2.842070971822717
1.7135,1.6889707338334519,46.14109667954281,6.0,2.842156337727394,2.842156337727394
1.714,1.6888244042204703,46.143359034636795,6.0,2.842241550072054,2.842241550072054
1.7145000000000001,1.6886782316395967,46.145618064417654,6.0,2.8423266090504677,2.8423266090504677
1.715,1.6885322159788336,46.14787377286874,6.0,2.8424115148562246,2.8424115148562246
1.7155,1.688386357126162,46.150126163969354,6.0,2.842496267682727,2.842496267682727
1.716,1.6882406549695408,46.15237524169474,6.0,2.842580867723194,2.842580867723194
1.7165000000000001,1.6880951094100913,46.15462101070795,6.0,2.842665315245651,2.842665315245651
1.717,1.6879497203518061,46.15686347606046,6.0,2.842749610556619,2.842749610556619
1.7175,1.6878044876753913,46.159102641743004,6.0,2.8428337538452633,2.8428337538452633
1.718,1.6876594112613406,46.161338511730456,6.0,2.842917745299313,2.842917745299313
1.7185000000000001,1.6875144909901905,46.16357108999425,6.0,2.843001585106423,2.843001585106423
1.719,1.6873697267425198,46.16580038050237,6.0,2.843085273454174,2.843085273454174
1.7195,1.68722511839895,46.16802638721937,6.0,2.8431688105300714,2.8431688105300714
1.72,1.6870806658401447,46.17024911410637,6.0,2.8432521965215463,2.8432521965215463
1.7205000000000001,1.6869363689468106,46.17246856512104,6.0,2.8433354316159525,2.8433354316159525
1.721,1.6867922275996967,46.1746847442176,6.0,2.8434185160005683,2.8434185160005683
1.7215,1.6866482416795945,46.17689765534686,6.0,2.843501449862596,2.843501449862596
1.722,1.686504411067338,46.179107302456174,6.0,2.8435842333891586,2.8435842333891586
1.7225000000000001,1.6863607356438035,46.18131368948945,6.0,2.843666866767303,2.843666866767303
1.723,1.6862172152899104,46.18351682038716,6.0,2.843749350183999,2.843749350183999
1.7235,1.6860738498866203,46.185716699086356,6.0,2.843831683826137,2.843831683826137
1.724,1.6859306393149374,46.18791332952062,6.0,2.8439138678805267,2.8439138678805267
1.7245000000000001,1.6857875834559082,46.19010671562011,6.0,2.8439959025339014,2.8439959025339014
1.725,1.6856446821906221,46.192296861311554,6.0,2.844077787972914,2.844077787972914
1.7255,1.6855019354002108,46.194483770518225,6.0,2.844159524384136,2.844159524384136
1.726,1.6853593429658484,46.19666744715995,6.0,2.8442411119540574,2.8442411119540574
1.7265000000000001,1.685216904768752,46.19884789515315,6.0,2.84432255086909,2.84432255086909
