t,x,y,z,delta_norm
0.405,14.636446872361175,-0.2749680230365601,46.16934208360795,1.573558070699163e-07
0.41000000000000003,13.877548712718717,-1.5423366335533308,45.49306381548345,1.5247319208026688e-07
0.41500000000000004,13.09686834536023,-2.6869711463995167,44.74845057099919,1.4746422643612498e-07
0.42,12.301443065994379,-3.7097135502909557,43.9536605728595,1.4235492421218614e-07
0.425,11.49786595776618,-4.613863812319871,43.12520457849011,1.371717260743263e-07
0.43,10.692193981893658,-5.404669952235803,42.27770530322464,1.3194400547061733e-07
0.435,9.88990005966937,-6.088847724958409,41.42379401177928,1.2669821748534097e-07
0.44,9.095832835341456,-6.674069286393735,40.574109413610586,1.2146264493977113e-07
0.445,8.314213297510584,-7.168641205507156,39.73735669615878,1.1626656791420443e-07
0.45,7.5486455864625475,-7.581118391228591,38.92044860762108,1.1112900118776667e-07
0.455,6.802145652077293,-7.919995483023337,38.12872090578196,1.0607462268796889e-07
0.46,6.077164920842608,-8.193587648233171,37.366046311738025,1.0112267778366537e-07
0.465,5.375635142894613,-8.409807737368515,36.63505755462605,9.629098412089077e-08
0.47000000000000003,4.6990329714182835,-8.576065166865005,35.93740462319274,9.158930501705544e-08
0.47500000000000003,4.048410945224214,-8.699218001884365,35.2738709518857,8.703340672187757e-08
0.48,3.4244429422112383,-8.785538062905156,34.64453165277482,8.263177925800798e-08
0.485,2.827479941711446,-8.840689894944605,34.048932690527685,7.838881443548832e-08
0.49,2.257605959743768,-8.869760491833137,33.486243133191124,7.430921313928424e-08
0.495,1.7146554603924873,-8.877268583399125,32.955301919633754,7.039773094688169e-08
0.5,1.1982639376468596,-8.867201392214788,32.454741921816066,6.665453273734655e-08
0.505,0.7079074182068015,-8.843063728722077,31.98307223275306,6.307816549574107e-08
0.51,0.24292716564280958,-8.807915312166777,31.538728723569086,5.96685889537196e-08
0.515,-0.19744690393659126,-8.764404016571495,31.120112628543882,5.6423119647869855e-08
0.52,-0.6140643111084916,-8.714815990370171,30.725640316312465,5.333792674178532e-08
0.525,-1.0078346973680696,-8.661122248045189,30.35376981532777,5.040953504597677e-08
