t,v,iL
0.0,1.0,0.0
0.005,1.006653990942661,0.005016645613639295
0.01,1.0132819292497974,0.01006649648890785
0.015,1.0198827852806704,0.015149421587691763
0.02,1.0264555199755305,0.02026528318290787
0.025,1.0329990820070007,0.02541393637489526
0.03,1.0395124325658371,0.03059523154011941
0.035,1.045994545360928,0.03580901433117224
0.04,1.0524444066192944,0.04105512567677205
0.045,1.0588610150860895,0.04633340178176357
0.05,1.0652433820245997,0.05164367412711793
0.055,1.0715905312162435,0.056985769469932654
0.06,1.077901498960572,0.06235950984343168
0.065,1.0841753340752691,0.0677647125569654
0.07,1.0904110978961512,0.07320119019601057
0.075,1.096607864277167,0.07866875062217035
0.08,1.102764719590398,0.08416719697317433
0.085,1.1088807627260584,0.0896963276628785
0.09,1.1149551050924944,0.09525593638126525
0.095,1.1209868706161856,0.10084581209444346
0.1,1.126975195741743,0.10646573904464825
0.105,1.1329192294319117,0.11211549675024128
0.11,1.1388181346771886,0.11779486042584793
0.115,1.1446711300207355,0.12350361101489721
0.12,1.150477433897922,0.12924151702684114
0.125,1.156236267665703,0.13500833849664526
0.13,1.161946874045569,0.14080383271693667
0.135,1.1676085171235453,0.14662775423800425
0.14,1.1732204823501926,0.15247985486779855
0.145,1.178782076540607,0.15835988367193174
0.15,1.1842926278744197,0.1642675869736778
0.155,1.1897514858957972,0.17020270835397233
0.16,1.195158021513441,0.17616498865141259
0.165,1.2005116270005884,0.18215416596225759
0.17,1.2058117159950115,0.18816997564042798
0.17500000000000002,1.2110577234990179,0.19421215029750616
0.18,1.21624910587945,0.2002804198027361
0.185,1.221385340867686,0.20637451128302362
0.19,1.226465927559639,0.21249414912293607
0.195,1.2314903864157578,0.21863905496470265
0.2,1.2364582592610258,0.22480894770821405
0.20500000000000002,1.2413691092849621,0.23100354351102287
0.21,1.2462225210416207,0.23722255578834317
0.215,1.2510181004495913,0.24346569521305092
0.22,1.2557554747919986,0.24973266971568364
0.225,1.2604342927165024,0.25602318448444056
0.23,1.2650542242352982,0.26233694196518265
0.23500000000000001,1.2696149590845143,0.2686736431013506
0.24,1.2741161928048848,0.2750330038536205
0.245,1.2785576739100124,0.28141472711277254
0.25,1.282939179824503,0.287818509445306
0.255,1.2872605064306162,0.2942440473348436
0.26,1.2915214680682665,0.3006910371821314
0.265,1.2957218975350229,0.30715917530503883
0.27,1.299861646086109,0.3136481579385588
0.275,1.3039405834344024,0.3201576812348075
0.28,1.3079585977504358,0.32668744126302446
0.28500000000000003,1.311915595662396,0.3332371340095728
0.29,1.3158115022561245,0.33980645537793863
0.295,1.3196462610751176,0.34639510118873207
0.3,1.3234198341205252,0.35300276717968593
0.305,1.3271322018511529,0.3596291490056569
0.31,1.3307833631834598,0.3662739422386248
0.315,1.33437333549156,0.3729368423676929
0.32,1.3379021546072218,0.37961754479908794
0.325,1.3413698748198686,0.38631574485615977
0.33,1.3447765688765776,0.393031137779382
0.335,1.348122327982081,0.3997634187263513
0.34,1.3514072617987654,0.40651228277178786
0.34500000000000003,1.3546314984466716,0.4132774249075353
0.35000000000000003,1.3577951845034952,0.42005854004256055
0.355,1.3608984850045864,0.4268553230029538
0.36,1.3639415834429496,0.4336674685319289
0.365,1.366924681769244,0.440494671289823
0.37,1.3698479655661338,0.4473366289709684
0.375,1.3727115386561528,0.45419305116507463
0.38,1.3755156551888454,0.4610636398494057
0.385,1.3782605918077013,0.46794809746959465
0.39,1.3809466314027863,0.47484612821483113
0.395,1.3835740631107425,0.4817574380178611
0.4,1.3861431823147885,0.4886817345549867
0.405,1.388654290644719,0.4956187272460667
0.41000000000000003,1.3911076959769058,0.5025681272545162
0.41500000000000004,1.3935037124342962,0.5095296474873062
0.42,1.3958426603864138,0.5165030025949647
0.425,1.3981248664493595,0.5234879089715758
0.43,1.4003506634858096,0.53048408475478
0.435,1.4025203906050172,0.5374912498257738
0.44,1.4046343931628118,0.5445091258093107
0.445,1.4066930227615988,0.5515374360737
0.45,1.4086966372503604,0.5585759057308076
0.455,1.410645600724655,0.5656242616360558
0.46,1.4125402835266174,0.5726822323884233
0.465,1.4143810622449589,0.5797495483304448
0.47000000000000003,1.4161683197149664,0.5868259415482119
0.47500000000000003,1.4179024450185043,0.593911145871372
0.48,1.4195838334840123,0.6010048968731293
0.485,1.4212128866865072,0.6081069318702443
0.49,1.4227900124475819,0.6152169899230335
0.495,1.4243156248354052,0.6223348118353704
0.5,1.4257901441647232,0.6294601401546841
0.505,1.4272139969968574,0.6365927191719606
0.51,1.4285876161397062,0.6437322949217421
0.515,1.4299114406477442,0.6508786151821271
0.52,1.4311859158220224,0.6580314294747707
0.525,1.4324114932101681,0.665190489064884
0.53,1.433588630606385,0.6723555469612346
0.535,1.434717792051453,0.6795263579161467
0.54,1.4357994467505384,0.6867026784876209
0.545,1.4368339766268492,0.6938842738281161
0.55,1.4378217865531686,0.7010709144691674
0.555,1.4387633348184343,0.7082623706549321
0.56,1.4396590771958837,0.7154584146226858
