scenario,runtime_s,n_points,rtol,atol,settling_time_theta_eps0.05,x_max_abs
swingup,0.6122795999999999,2401,0.0001,1e-06,,
lqr,0.04395170000000004,1801,0.0001,1e-06,0.05,0.05440877231101191
