ic_index,v0,iL0,v_min_tail,v_max_tail,iL_min_tail,iL_max_tail,runtime_s,n_points,rtol,atol
0,1.0,0.0,-2.0086197938014014,2.008621234861047,-2.1727134768298466,2.1727147476715323,0.05819010000000002,12001,1e-06,1e-08
1,0.5,0.5,-2.0086199274460066,2.0086212014702682,-2.172713836520818,2.1727149282548224,0.047812100000000024,12001,1e-06,1e-08
2,-1.0,0.0,-2.008621234861047,2.0086197938014014,-2.1727147476715323,2.1727134768298466,0.03385219999999989,12001,1e-06,1e-08
