t,x,x_dot,theta,theta_dot,E,E_minus_E0
0.0,0.0,0.0,2.941592653589793,0.0,-1.1654671877173548,0.0
0.0033333333333333335,-0.0003240291523495261,-0.19442808012322954,2.940568981689882,-0.6145769057487633,-1.155742127066862,0.009725060650492834
0.006666666666666667,-0.0012961503009252502,-0.3888440880994325,2.937493655416387,-1.230909807779295,-1.1265487159735272,0.038918471743827565
0.01,-0.0029157993732997186,-0.5830693733487902,2.932364002113,-1.8479323481753926,-1.0778787968598715,0.08758839085748327
0.013333333333333334,-0.0051824870494378925,-0.7769636909687231,2.9251775672074785,-2.4646799910321517,-1.0097306440966471,0.15573654362070766
0.016666666666666666,-0.008095116934054472,-0.9703745520310051,2.91593556478209,-3.080119162630475,-0.9221094220597778,0.24335776565757705
0.02,-0.011651739810173896,-1.1631169240276478,2.9046441740010085,-3.6930823266582773,-0.8150376886495062,0.3504294990678486
0.023333333333333334,-0.01584955363913033,-1.3549732308709022,2.8913145391103092,-4.302267984210481,-0.6885623555693425,0.47690483214801227
0.02666666666666667,-0.02068490356056767,-1.545693352893255,2.8759627694379715,-4.906240673789018,-0.5427607848382919,0.6227064028790629
0.030000000000000002,-0.026153281892439532,-1.734994626847433,2.8586099393938795,-5.503430971302826,-0.37774669388207216,0.7877204938352826
0.03333333333333333,-0.03224932813100928,-1.9225618459063987,2.839282088469819,-6.0921354900678555,-0.19367668903043356,0.9717904986869212
0.03666666666666667,-0.038966828950850005,-2.108047259663355,2.818010221239481,-6.670516880807067,0.00924162173923837,1.1747088094565932
0.04,-0.046298718204844505,-2.2910705741317394,2.79483030735846,-7.236603831650424,0.2307388849496803,1.3962060726670351
0.043333333333333335,-0.054170370907699036,-2.394404618947771,2.769991121731172,-7.549001063210337,0.3719712519306104,1.5374384396479652
0.04666666666666667,-0.06218350536393981,-2.4195308874082735,2.744750779653189,-7.613668636004823,0.4198051715351556,1.5852723592525104
0.05,-0.07030575843328397,-2.4546540428044463,2.719221289702915,-7.706006013373924,0.48263751583857295,1.6481047035559278
0.05333333333333334,-0.07855356813696684,-2.494901805435222,2.693363976058435,-7.810406059293897,0.5548769278306189,1.7203441155479737
0.05666666666666667,-0.08694380179587999,-2.540058146608071,2.6671399677194714,-7.92579526415424,0.6368468802795246,1.8023140679968794
0.060000000000000005,-0.09549243900241988,-2.5898673652351656,2.640514540819236,-8.050953631126744,0.7288586583704841,1.894325846087839
0.06333333333333334,-0.10421374133654744,-2.643916801833664,2.613459205044422,-8.184306855797137,0.8310260284405953,1.99649321615795
0.06666666666666667,-0.11312190048727876,-2.701800232069295,2.5859474062168424,-8.324153860487804,0.9434693998145611,2.108936587531916
