t,theta1,theta1_dot,theta2,theta2_dot
0.0,0.7,0.0,0.7,0.0
0.0025,0.699974608346078,-0.0203130877718012,0.700008463480985,0.0067703939820625
0.005,0.6998984369753264,-0.04062331738296,0.7000338479295846,0.0135360236642457
0.0075,0.6997714965728038,-0.060927830466223,0.7000761355551903,0.0202921249188747
0.01,0.6995938049891625,-0.0812237647009446,0.7001352966070509,0.0270339235145686
0.0125,0.6993653872592404,-0.1015082532750708,0.7002112893325408,0.0337566335428015
0.015,0.6990862756020609,-0.1217784248851395,0.7003040599771614,0.0404554574179025
0.0175,0.6987565094208333,-0.1420314037362804,0.7004135427845398,0.047125585877056
0.02,0.6983761353650155,-0.1622643071646099,0.7005396598371451,0.0537621914683683
0.0225,0.6979452072238461,-0.1824742424651232,0.7006823212994124,0.0603604219347482
0.025,0.6974637859089007,-0.2026583084401722,0.700841425469868,0.0669154046546524
0.0275,0.6969319396937677,-0.2228135913572937,0.7010168581891557,0.0734222343224397
0.03,0.6963497442175417,-0.2429371648697199,0.7012084928313097,0.0798759727166197
0.0325,0.695717282484824,-0.2630260900163781,0.7014161903037546,0.0862716486998524
0.035,0.695034644865722,-0.2830774152218908,0.7016397990473052,0.0926042582189488
0.0375,0.6943019290958491,-0.3030881762965757,0.7018791550361673,0.0988687643048702
0.04,0.6935192402763255,-0.3230553964364459,0.7021340817779363,0.1050600970727287
0.0425,0.6926866909890265,-0.3429760845842045,0.7024043899831353,0.1111731484040333
0.045,0.6918044013614505,-0.3628472274297563,0.702689877374139,0.117202753230265
0.0475,0.6908724988546905,-0.3826657934457028,0.702990329343132,0.1231437026610193
0.05,0.6898911186564521,-0.4024287342942056,0.703305517859058,0.1289907420253351
0.0525,0.6888604036967699,-0.4221329847634118,0.7036352014231045,0.1347385705113268
0.055,0.687780504648007,-0.4417754627674535,0.7039791250687019,0.1403818411661851
0.0575,0.6866515799248554,-0.4613530693464481,0.7043370203615238,0.1459151608961765
0.06,0.6854737956843358,-0.4808626886664984,0.7047086053994874,0.1513330904666433
0.0625,0.6842473258257977,-0.5003011880196924,0.7050935848127531,0.1566301445020039
0.065,0.6829723519909195,-0.519665417824103,0.7054916497637244,0.1618007914857525
0.0675,0.6816490635761437,-0.5389522122946061,0.705902477899419,0.1668394550123565
0.07,0.6802776580886489,-0.5581583962724493,0.7063257321916385,0.1717405245658178
0.0725,0.6788583410934435,-0.577280759378935,0.7067610615697757,0.176498304201697
0.075,0.6773913262031026,-0.5963160747752466,0.7072081007068524,0.1811070513384846
0.0775,0.675876835151987,-0.6152611068661744,0.7076664696799493,0.1855609917840744
0.08,0.6743150977962423,-0.6341126113001159,0.7081357739702066,0.1898543197357632
0.0825,0.6727063521137995,-0.6528673349690756,0.7086156044628228,0.1939811977802508
0.085,0.6710508442043743,-0.671522016008665,0.7091055374470561,0.1979357568936402
0.0875,0.669348828289468,-0.6900733837981029,0.7096051346162231,0.2017120964414375
0.09,0.6676005667123667,-0.708518158960215,0.7101139430676997,0.2053042841785517
0.0925,0.6658063299381419,-0.7268530533614344,0.7106314953029208,0.2087063562492951
0.095,0.6639663965536501,-0.7450747701118007,0.7111573092273801,0.2119123171873831
0.0975,0.6620810530871332,-0.7631800215684136,0.711690888277152,0.2149161787699406
0.1,0.6601505946581073,-0.781165525682082,0.7122317198102491,0.2177119505096226
0.1025,0.6581753254630461,-0.7990279616319401,0.7127792747346402,0.2202935440606401
0.105,0.6561555577488304,-0.816764024393021,0.7133330091555947,0.2226548923986108
0.1075,0.6540916117849696,-0.8343704265651078,0.7138923644132473,0.224789953794274
0.11,0.6519838158636014,-0.8518438983727328,0.7144567670825973,0.2266927118134909
0.1125,0.6498325062994923,-0.8691811876651776,0.7150256289735089,0.2283571753172444
0.115,0.647638027430037,-0.8863790599164739,0.7155983471307109,0.229777378461639
0.1175,0.6454007316152587,-0.9034342982254024,0.7161743038337972,0.2309473806979012
0.12,0.6431209792378092,-0.9203437033154936,0.7167528665972266,0.2318612667723792
0.1225,0.6407991387029689,-0.9371040935350272,0.7173333881703223,0.2325131467265429
0.125,0.6384355864386464,-0.9537123048570332,0.7179152065372727,0.2328971558969839
0.1275,0.6360307064742835,-0.9701652029708924,0.7184976457331302,0.2330074828554156
0.13,0.6335848893515446,-0.9864597335609774,0.7190800176285123,0.232838484308592
0.1325,0.6310985364232259,-1.0025928132600594,0.7196616133717179,0.232384432236491
0.135,0.6285720564809532,-1.018561401129524,0.720241710376522,0.2316396808398235
0.1375,0.6260058651689762,-1.0343625133473493,0.7208195734957826,0.2305987006272375
0.14,0.6234003849841692,-1.0499932232081055,0.7213944550214415,0.2292560784153173
0.1425,0.6207560452760307,-1.0654506611229553,0.7219655946845236,0.2276065173285839
0.145,0.6180732822466837,-1.0807320146196533,0.7225322196551371,0.225644836799495
0.1475,0.615352538950875,-1.095834528342547,0.7230935445424738,0.2233659725684447
0.15,0.6125942652959764,-1.1107555040525765,0.7236487713948087,0.2207649766837641
0.1525,0.6097989180419835,-1.1254923006272723,0.7241970896995,0.2178370175017205
0.155,0.6069669608015165,-1.1400423340607595,0.7247376763829896,0.214577379686518
0.1575,0.6040988640398197,-1.1544030774637546,0.7252696958108026,0.2109814642102974
0.16,0.6011951038291166,-1.1685720756997786,0.72579230247941,0.2070448268612156
0.1625,0.5982561596466626,-1.1825469874447818,0.7263046454675957,0.2027632844651323
0.165,0.5952825223183764,-1.196325498469194,0.7268058511608029,0.1981326849766101
0.1675,0.5922746878035442,-1.2099053753149644,0.7272950370621882,0.1931490540572583
0.17,0.5892331564613345,-1.223284472817049,0.7277713133989326,0.1878086151672102
0.1725,0.5861584330507982,-1.2364607341034095,0.7282337831222406,0.1821077895651235
0.175,0.5830510267308687,-1.2494321905950143,0.7286815419073408,0.1760431963081801
0.1775,0.5799114510603617,-1.2621969620058378,0.7291136781534854,0.169611652252086
0.18,0.5767402239979751,-1.2747532563428607,0.7295292729839509,0.1628101720510715
0.1825,0.5735378679022894,-1.28709936990607,0.7299274002460373,0.155635968157891
0.185,0.5703049095317673,-1.299233687288459,0.7303071265110689,0.1480864508238233
0.1875,0.5670418800447538,-1.3111546813760264,0.7306675110743935,0.1401592280986713
0.19,0.5637493149994766,-1.3228609133477789,0.7310076059553833,0.1318521058307622
0.1925,0.5604277543074367,-1.334351032615376,0.7313264560072639,0.1231630878374672
0.195,0.5570777366553709,-1.3456237737717505,0.7316231119232753,0.1140904076202408
0.1975,0.5536998069782879,-1.3566779768640715,0.7318966123046369,0.1046325296667059
0.2,0.5502945161614575,-1.3675125774328285,0.7321459847240848,0.0947881244603227
0.2025,0.5468624163829908,-1.3781265978063273,0.7323702567946866,0.0845560782541373
0.205,0.5434040611138402,-1.388519147100692,0.7325684561698406,0.0739354930707823
0.2075,0.5399200051177999,-1.3986894212198635,0.7327396105432765,0.0629256867024767
0.21,0.5364108044515055,-1.4086367028556004,0.7328827476490547,0.0515261927110255
0.2125,0.5328770164644339,-1.418360361487479,0.732996895261567,0.0397367604278199
0.215,0.5293191997989035,-1.4278598533828917,0.7330810811955359,0.0275573549538375
0.2175,0.5257379143900744,-1.43713472159705,0.7331343333060153,0.0149881571596423
0.22,0.5221337214659482,-1.446184595972982,0.7331556794883898,0.0020295636853842
0.2225,0.5185071835473677,-1.4550091931415328,0.7331441476783752,-0.0113178130592002
0.225,0.5148588644480174,-1.4636083165213656,0.7330987658520186,-0.0250531448947887
0.2275,0.5111893292574049,-1.4719818560777442,0.7330185620709306,-0.0391753882734087
0.23,0.5074991396649258,-1.480129720471964,0.7329025768447268,-0.0536833939123206
0.2325,0.5037888594046435,-1.4880519107155363,0.7327498485312328,-0.0685757756314557
0.235,0.5000590551426015,-1.4957485378588935,0.7325594112204091,-0.0838508883901145
0.2375,0.4963102923175319,-1.5032197653633017,0.7323303058481228,-0.0995069263637715
0.24,0.4925431351408554,-1.5104658091008571,0.732061580196147,-0.1155419229440754
0.2425,0.4887581465966817,-1.517486937354491,0.7317522888921622,-0.1319537507388498
0.245,0.484955888441809,-1.524283470817965,0.7314014934097547,-0.1487401215720918
0.2475,0.4811369212057242,-1.5308557825958733,0.7310082620684177,-0.1658985864839735
0.25,0.4773018041906032,-1.5372042982036431,0.7305716700335511,-0.1834265357308404
0.2525,0.4734510954713105,-1.5433294955675343,0.7300907993164607,-0.2013211987852131
0.255,0.4695853518953993,-1.5492319050246377,0.7295647387743596,-0.2195796443357859
0.2575,0.4657051290831114,-1.554912109322877,0.7289925841103668,-0.2381987802874276
0.26,0.4618109814273777,-1.5603707436210092,0.7283734378735082,-0.2571753537611815
0.2625,0.4579034620938177,-1.565608495488623,0.7277064094587162,-0.2765059510942645
