t,x,theta
0.0,0.0,0.15
0.0033333333333333,0.0002169225438657,0.1493130079033141
0.0066666666666666,0.0008671973645112,0.1472566462667437
0.01,0.0019518538424237,0.1438314303543088
0.0133333333333333,0.0034703448702112,0.1390423022005083
0.0166666666666666,0.0053876310535908,0.133007034318817
0.02,0.0076332310270023,0.1259595533957315
0.0233333333333333,0.0101271654092788,0.1181641358855444
0.0266666666666666,0.0128071657811608,0.1098255548403878
0.03,0.0156172501350606,0.101127371671456
0.0333333333333333,0.0185092261391986,0.0922270396111747
0.0366666666666666,0.0214433771028708,0.0832533708350397
0.04,0.0243868986137976,0.074311903058915
0.0433333333333333,0.0273116295897544,0.06549272964089
0.0466666666666666,0.0301940054344683,0.0568706429492833
0.05,0.033015838329241,0.0485022560316977
0.0533333333333333,0.0357634735044737,0.0404289317174249
0.0566666666666666,0.0384256631371949,0.0326841190355783
0.06,0.0409934354938763,0.0252937936040451
0.0633333333333333,0.0434603681072143,0.018275462452416
0.0666666666666666,0.045823118668228,0.0116362870986204
0.07,0.0480797133440887,0.0053790161209929
0.0733333333333333,0.0502290751745184,-0.0004964142095133
0.0766666666666666,0.0522710349511049,-0.0059929194249575
0.08,0.054206798432318,-0.0111179118191224
0.0833333333333333,0.0560387697725779,-0.0158826774070115
0.0866666666666666,0.0577696293622957,-0.0202992274732908
0.09,0.0594022743522346,-0.0243801054454652
0.0933333333333333,0.0609398369089938,-0.0281384535202167
0.0966666666666666,0.0623860246286881,-0.0315891975110954
0.1,0.0637449173076713,-0.0347483346889447
0.1033333333333333,0.0650205081688026,-0.0376314036705379
0.1066666666666666,0.0662166861292252,-0.0402534295769372
0.11,0.0673372372336085,-0.0426289293318642
0.1133333333333333,0.0683860363522745,-0.0447725838422331
0.1166666666666666,0.0693671207738904,-0.0466994677279912
0.12,0.0702843487410382,-0.0484239208490657
0.1233333333333333,0.0711413793666779,-0.0499594990118571
0.1266666666666666,0.0719416726341466,-0.0513189739692391
0.13,0.0726884959128336,-0.0525143566066668
0.1333333333333333,0.0733851104908287,-0.0535575416959143
0.1366666666666667,0.074034697049581,-0.0544600341894619
0.14,0.0746402331383623,-0.0552325734723026
0.1433333333333333,0.0752045138158288,-0.0558852147579103
0.1466666666666666,0.0757301516500209,-0.0564273290882385
0.15,0.0762195767190285,-0.0568676033360832
0.1533333333333333,0.0766751171289752,-0.0572143175301426
0.1566666666666666,0.0770990141781591,-0.0574753807546311
0.16,0.0774933331012815,-0.0576580526115828
0.1633333333333333,0.0778600071860082,-0.0577691100723191
0.1666666666666666,0.0782008377729694,-0.0578148474774486
0.17,0.0785174942557602,-0.0578010765368671
0.1733333333333333,0.0788115196971257,-0.0577331456417936
0.1766666666666666,0.0790843897809881,-0.0576161343342722
0.18,0.0793374481665206,-0.0574546303145665
0.1833333333333333,0.0795719404621159,-0.0572528687434664
0.1866666666666666,0.0797890298394606,-0.0570147881903079
0.19,0.0799897970335352,-0.0567440306329727
0.1933333333333333,0.0801752403426138,-0.056443941457889
0.1966666666666666,0.0803462859630039,-0.0561176071794511
0.2,0.080503819735371,-0.0557679628557129
0.2033333333333333,0.0806485857759829,-0.0553974178026328
0.2066666666666667,0.0807812740211159,-0.0550081887015575
0.21,0.0809025357270406,-0.0546023572786429
0.2133333333333333,0.0810129834700225,-0.0541818703048536
0.2166666666666666,0.0811131911463213,-0.0537485395959628
0.22,0.0812036939721917,-0.053304042012553
0.2233333333333333,0.0812849884838825,-0.0528499194600153
0.2266666666666666,0.0813575325376376,-0.0523875788885497
0.23,0.0814217480333642,-0.0519182923534655
0.2333333333333333,0.0814779944156353,-0.0514430928892901
0.2366666666666667,0.0815265842054803,-0.0509628571142315
0.24,0.0815678154895532,-0.0504784129109201
0.2433333333333333,0.0816019722754416,-0.049990540422572
0.2466666666666666,0.0816293244916666,-0.0494999720529892
0.25,0.0816501279876832,-0.0490073924665597
0.2533333333333333,0.0816646245338798,-0.048513438588257
0.2566666666666667,0.0816730418215785,-0.0480186996036409
0.26,0.0816755924836662,-0.047523713124224
0.2633333333333333,0.0816724490118768,-0.0470288689685679
0.2666666666666666,0.0816637606731833,-0.0465344764745377
0.27,0.0816496737538289,-0.0460408379019202
0.2733333333333334,0.0816303289508663,-0.0455482374544343
0.2766666666666666,0.081605861372157,-0.0450569412797308
0.28,0.0815764005363716,-0.0445671974693931
0.2833333333333333,0.0815420703729898,-0.0440792360589363
0.2866666666666667,0.0815029892223003,-0.0435932690278078
0.29,0.0814592687192102,-0.0431094860691627
0.2933333333333333,0.0814110027463403,-0.0426280139483521
0.2966666666666667,0.081358275850645,-0.0421489483513761
0.3,0.081301170898427,-0.0416723807118708
0.3033333333333333,0.0812397689763946,-0.041198397702057
0.3066666666666667,0.081174149391662,-0.0407270812327406
0.31,0.0811043896717493,-0.0402585084533122
0.3133333333333333,0.0810305655645824,-0.0397927517517475
0.3166666666666667,0.0809527510384933,-0.0393298787546068
0.32,0.0808710182367309,-0.0388699521451389
0.3233333333333333,0.0807854329737198,-0.0384130130565832
0.3266666666666666,0.0806960519612664,-0.0379590719256332
0.33,0.0806029308613753,-0.0375081370824534
0.3333333333333333,0.0805061251281615,-0.0370602174854126
0.3366666666666666,0.0804056900078504,-0.0366153227210837
0.34,0.0803016805387778,-0.036173463004244
0.3433333333333334,0.0801941515513896,-0.0357346491778748
0.3466666666666667,0.0800831576682423,-0.0352988927131617
0.35,0.0799687533040027,-0.0348662057094945
0.3533333333333333,0.0798509926654479,-0.0344366008944671
0.3566666666666667,0.0797299297473257,-0.0340100916086337
0.36,0.0796056138900076,-0.0335866756938754
0.3633333333333333,0.0794780886669255,-0.0331663320031156
0.3666666666666667,0.0793473986594398,-0.0327490445469408
0.37,0.0792135884515801,-0.0323347985679699
0.3733333333333333,0.0790767026300449,-0.0319235805408545
0.3766666666666667,0.0789367857842017,-0.0315153781722786
0.38,0.078793882506087,-0.0311101804009588
0.3833333333333333,0.0786480373904059,-0.0307079773976442
0.3866666666666667,0.078499295034533,-0.0303087605651166
0.39,0.0783477000385115,-0.0299125225381902
0.3933333333333333,0.0781932970050535,-0.0295192571837117
0.3966666666666666,0.0780361305395404,-0.0291289596005605
0.4,0.0778762452500221,-0.0287416261196485
0.4033333333333334,0.0777136840853952,-0.0283572482976472
0.4066666666666667,0.0775484847575407,-0.0279758003123628
0.41,0.0773806867180051,-0.0275972641216222
0.4133333333333334,0.077210329469534,-0.0272216230079568
0.4166666666666667,0.0770374523793288,-0.0268488608944626
0.42,0.0768620946790469,-0.0264789623447999
0.4233333333333333,0.0766842954648015,-0.0261119125631933
0.4266666666666667,0.076504093697162,-0.025747697394432
0.43,0.0763215282011537,-0.0253863033238694
0.4333333333333333,0.0761366376662578,-0.0250277174774235
0.4366666666666667,0.0759494606464114,-0.0246719276215765
0.44,0.0757600355600077,-0.024318922163375
0.4433333333333333,0.0755684006898959,-0.0239686901504302
0.4466666666666667,0.0753745941833809,-0.0236212212709175
0.45,0.0751786540522239,-0.0232765058535767
0.4533333333333333,0.0749806181726418,-0.0229345348677121
0.4566666666666667,0.0747805241373114,-0.0225952993743156
0.46,0.0745784061774086,-0.022258779327676
0.4633333333333334,0.0743742986969015,-0.0219249569485245
0.4666666666666667,0.07416823673949,-0.0215938179686552
0.47,0.0739602551135217,-0.0212653483109022
0.4733333333333334,0.0737503883919917,-0.02093953408914
0.4766666666666667,0.0735386709125424,-0.0206163616082836
0.48,0.073325136777464,-0.0202958173642883
0.4833333333333333,0.073109819853694,-0.0199778880441494
0.4866666666666667,0.0728927537728175,-0.019662560525903
0.49,0.0726739719310673,-0.0193498218786251
0.4933333333333333,0.0724535074893233,-0.0190396593624324
0.4966666666666667,0.0722313933731133,-0.0187320604284815
0.5,0.0720076622726124,-0.0184270127189697
0.5033333333333334,0.0717823466426434,-0.0181245040671345
0.5066666666666667,0.0715554787026763,-0.0178245224972536
0.51,0.0713270904368291,-0.0175270562246452
0.5133333333333334,0.0710972135938668,-0.0172320936556677
0.5166666666666667,0.0708658796872024,-0.01693962338772
0.52,0.0706331199948959,-0.016649634209241
0.5233333333333333,0.0703989655596553,-0.0163621150997103
0.5266666666666667,0.0701634471888358,-0.0160770552296475
0.53,0.0699265949876128,-0.0157944416088558
0.5333333333333333,0.0696884379857435,-0.0155142585107443
0.5366666666666667,0.0694490052335832,-0.015236492442144
0.54,0.0692083255598473,-0.0149611300345784
0.5433333333333333,0.0689664275680035,-0.0146881580226916
0.5466666666666667,0.0687233396362717,-0.0144175632442475
0.55,0.0684790899176242,-0.0141493326401305
0.5533333333333333,0.0682337063397856,-0.013883453254345
0.5566666666666668,0.0679872166052325,-0.0136199122340156
0.56,0.0677396481911941,-0.0133586968293872
0.5633333333333334,0.0674910283496518,-0.0130997943938246
0.5666666666666667,0.0672413841073391,-0.0128431923838131
0.5700000000000001,0.0669907422657421,-0.012588878358958
0.5733333333333334,0.0667391294010989,-0.0123368399819849
0.5766666666666667,0.0664865718644,-0.0120870650187394
0.5800000000000001,0.0662330957813881,-0.0118395413381874
0.5833333333333334,0.0659787270525584,-0.011594256912415
0.5866666666666667,0.0657234913531581,-0.0113511998166284
0.5900000000000001,0.0654674141331869,-0.0111103582291541
0.5933333333333334,0.0652105206173967,-0.0108717204314387
0.5966666666666667,0.0649528358052916,-0.010635274808049
0.6000000000000001,0.064694384471128,-0.0104010098466718
0.6033333333333334,0.0644351911639148,-0.0101689141381144
0.6066666666666667,0.0641752802074129,-0.0099389763763042
0.61,0.0639146757001357,-0.0097111853582885
0.6133333333333334,0.0636534015153486,-0.0094855299842351
0.6166666666666667,0.0633914813010697,-0.0092619992574319
0.62,0.0631289384800689,-0.009040582284287
0.6233333333333334,0.0628657962498688,-0.0088212682743284
0.6266666666666667,0.0626020776023874,-0.0086040464694928
0.63,0.0623378053608519,-0.0083889041878679
0.6333333333333334,0.0620730012497577,-0.0081758277728658
0.6366666666666667,0.0618076865894763,-0.0079648039123112
0.64,0.0615418825239294,-0.0077558194129276
0.6433333333333334,0.0612756100205888,-0.0075488612003369
0.6466666666666667,0.0610088898704768,-0.00734391631906
0.65,0.0607417426881657,-0.0071409719325163
0.6533333333333333,0.060474188911778,-0.006940015323024
0.6566666666666667,0.0602062488029864,-0.0067410338918001
0.66,0.0599379424470141,-0.00654401515896
0.6633333333333333,0.0596692897526342,-0.0063489467635182
0.6666666666666667,0.0594003104521701,-0.0061558164633877
0.67,0.0591310241014955,-0.0059646121353801
0.6733333333333333,0.0588614500800342,-0.0057753217752058
0.6766666666666667,0.0585916075907604,-0.0055879334974741
0.68,0.0583215156601983,-0.0054024355356926
0.6833333333333333,0.0580511931384225,-0.005218816242268
0.6866666666666668,0.0577806586990577,-0.0050370640885055
0.6900000000000001,0.0575099308392788,-0.004857167664609
0.6933333333333334,0.057239027879811,-0.0046791156796812
0.6966666666666667,0.0569679679649297,-0.0045028969617233
0.7000000000000001,0.0566967690624605,-0.0043285004576355
0.7033333333333334,0.0564254489637792,-0.0041559152332166
0.7066666666666667,0.0561540252838119,-0.0039851304731639
0.7100000000000001,0.0558825154610348,-0.0038161354810737
0.7133333333333334,0.0556109367574744,-0.0036489196794407
0.7166666666666667,0.0553393062587074,-0.0034834726096587
0.7200000000000001,0.0550676408738607,-0.0033197839320198
0.7233333333333334,0.0547959573356114,-0.0031578434257151
0.7266666666666667,0.0545242722001869,-0.0029976409888342
0.7300000000000001,0.0542526018473647,-0.0028391666383655
0.7333333333333334,0.0539809624804727,-0.0026824105101961
0.7366666666666667,0.0537093701263887,-0.0025273628591118
0.7400000000000001,0.0534378406355411,-0.0023740140587972
0.7433333333333334,0.0531663896819082,-0.0022223546018354
0.7466666666666667,0.0528950327630187,-0.0020723750997083
0.75,0.0526237851299803,-0.0019240660119435
0.7533333333333334,0.0523526582866861,-0.0017774041371959
0.7566666666666667,0.0520816650917876,-0.0016323723945173
0.76,0.0518108202404972,-0.001488961512919
0.7633333333333334,0.0515401382267356,-0.0013471621126287
0.7666666666666667,0.0512696333431324,-0.0012069647050901
0.77,0.050999319681026,-0.0010683596929634
0.7733333333333334,0.0507292111304631,-0.0009313373701248
0.7766666666666667,0.0504593213801996,-0.0007958879216668
0.78,0.0501896639176998,-0.0006620014238982
0.7833333333333334,0.0499202520291366,-0.0005296678443437
0.7866666666666667,0.0496510987993919,-0.0003988770417446
0.79,0.0493822171120561,-0.0002696187660581
0.7933333333333333,0.0491136196494282,-0.0001418826584579
0.7966666666666667,0.0488453188925162,-1.565825133374634e-05
0.8,0.0485773271210366,0.0001090650317084
0.8033333333333333,0.0483096564134144,0.0002322978758464
0.8066666666666668,0.0480423186467838,0.0003540510750419
0.81,0.0477753254969872,0.00047433553204
0.8133333333333334,0.0475086884385759,0.0005931622583702
