t,x,x_dot,theta,theta_dot
0.0,0.0,0.0,0.15,0.0
0.0033333333333333335,0.0002169225438657023,0.13011415098554027,0.1493130079033141,-0.41183112628737206
0.006666666666666667,0.0008671973645112985,0.26002090861021926,0.1472566462667437,-0.8216932729279127
0.01,0.0019518538424237546,0.391078415007182,0.1438314303543088,-1.234301486834165
0.013333333333333334,0.003470344870211222,0.5189215295763178,0.13904230220050834,-1.6354818649086464
0.016666666666666666,0.005387631053590802,0.6282648625058054,0.13300703431881705,-1.9750814193198434
0.02,0.007633231027002317,0.7141250265104581,0.1259595533957315,-2.2369678834454056
0.023333333333333334,0.010127165409278823,0.7791387252037408,0.11816413588554447,-2.4301232187776445
0.02666666666666667,0.012807165781160878,0.8260445980625889,0.10982555484038786,-2.5637872558922834
0.030000000000000002,0.01561725013506068,0.8574921904322368,0.101127371671456,-2.646880875908581
0.03333333333333333,0.018509226139198674,0.8758582689577451,0.0922270396111747,-2.6874010020630954
0.03666666666666667,0.02144337710287087,0.8832182093447616,0.08325337083503971,-2.6923168152417856
0.04,0.0243868986137976,0.8813904650425787,0.07431190305891502,-2.667728095190359
0.043333333333333335,0.02731162958975445,0.8720066414307808,0.06549272964089009,-2.619109996067891
0.04666666666666667,0.030194005434468357,0.8565125215440104,0.056870642949283366,-2.55131549312269
0.05,0.033015838329241,0.8361349607328947,0.04850225603169779,-2.468449351728053
0.05333333333333334,0.03576347350447379,0.811907335801338,0.04042893171742491,-2.3739579600270253
0.05666666666666667,0.03842566313719491,0.7847439749328057,0.032684119035578385,-2.270886656364664
0.060000000000000005,0.040993435493876317,0.7554446106377898,0.02529379360404513,-2.1618943946481934
0.06333333333333334,0.04346036810721436,0.7246854690694826,0.01827546245241607,-2.0492198590878603
0.06666666666666667,0.04582311866822803,0.6929984433088376,0.011636287098620465,-1.934605486619816
0.07,0.04807971334408879,0.6608356131029018,0.00537901612099298,-1.8195234965128415
0.07333333333333333,0.05022907517451842,0.6285885963838017,-0.0004964142095133586,-1.7052421281865127
0.07666666666666667,0.05227103495110497,0.5965883133260887,-0.005992919424957572,-1.5928247529285338
0.08,0.05420679843231806,0.5650902768252437,-0.011117911819122424,-1.4830771218079362
0.08333333333333334,0.05603876977257795,0.5342806194513408,-0.015882677407011554,-1.3765684852647277
0.08666666666666667,0.05776962936229572,0.5043146091094098,-0.02029922747329083,-1.2737656057841193
0.09000000000000001,0.05940227435223464,0.4753200317827424,-0.024380105445465244,-1.1750442632628144
0.09333333333333334,0.060939836908993815,0.447396878759965,-0.028138453520216763,-1.080688075650013
0.09666666666666668,0.062386024628688155,0.4206062226035032,-0.031589197511095436,-0.9908493079528875
