t,theta1_A,theta1_dot_A,theta2_A,theta2_dot_A,theta1_B,theta1_dot_B,theta2_B,theta2_dot_B,diff_norm,E,E_minus_E0
0.11,0.6519838158636014,-0.8518438983727328,0.7144567670825973,0.22669271181349096,0.652868939871703,-0.8538910423055368,0.7146286209009771,0.2297395290874743,0.003779797881801246,4.613796293499117,8.020781372408692e-09
0.1125,0.6498325062994923,-0.8691811876651776,0.7150256289735089,0.2283571753172444,0.6507124601299525,-0.8712701076927847,0.715205174971179,0.23146393235870116,0.0038499456756427345,4.613796287070787,1.5924515039955622e-09
0.115,0.647638027430037,-0.8863790599164739,0.7155983471307109,0.22977737846163904,0.6485127071754089,-0.888509335359239,0.7157857340605849,0.23294320862466228,0.003919277050886727,4.61379628003889,-5.439446226773725e-09
0.11750000000000001,0.6454007316152587,-0.9034342982254023,0.7161743038337972,0.23094738069790127,0.6462700344418567,-0.9056054909070929,0.7163696782296906,0.2341713779970804,0.0039877430715936114,4.613796274345092,-1.1133243660310654e-08
0.12,0.6431209792378092,-0.9203437033154935,0.7167528665972266,0.23186126677237925,0.6439848034273867,-0.9225553574736048,0.7169563726794582,0.23514248553815478,0.004055295015158956,4.613796271472265,-1.4006070969685425e-08
0.1225,0.6407991387029689,-0.9371040935350272,0.7173333881703223,0.2325131467265429,0.6416573836943956,-0.9393557357310999,0.7175451677513162,0.23585060126056123,0.00412188432661681,4.613796271796431,-1.3681904498241693e-08
0.125,0.6384355864386464,-0.9537123048570332,0.7179152065372727,0.23289715589698395,0.6392881528695861,-0.9560034438869688,0.7181353989271589,0.23628982012745206,0.004187462578092018,4.613796273868981,-1.1609355254904585e-08
0.1275,0.6360307064742835,-0.9701652029708923,0.7184976457331302,0.2330074828554156,0.6368774962884493,-0.9724953278922809,0.7187263875191306,0.23645428563171475,0.004251976872234545,4.613796275501133,-9.977203063726847e-09
0.13,0.6335848893515446,-0.9864597335609774,0.7190800176285123,0.23283848430859205,0.6344258057011575,-0.9888283167448435,0.7193174428711725,0.23633831629593058,0.004315381940383714,4.613796282250706,-3.2276297190492187e-09
0.1325,0.6310985364232259,-1.0025928132600594,0.7196616133717179,0.232384432236491,0.6319334837450119,-1.0049993105602661,0.7199078534189873,0.23593614610201763,0.00437763313098679,4.613796290872825,5.394489299703764e-09
0.135,0.6285720564809532,-1.018561401129524,0.720241710376522,0.23163968083982356,0.6294009406508788,-1.0210052493228874,0.7204968935385494,0.23524208512418518,0.004438679762443747,4.613796297805543,1.2327206810880398e-08
0.1375,0.6260058651689762,-1.0343625133473493,0.7208195734957826,0.23059870062723753,0.626828593534306,-1.0368431306774895,0.7210838249661847,0.23425056080203155,0.00449847261607384,4.613796301082407,1.5604070924268854e-08
0.14,0.6234003849841692,-1.0499932232081055,0.7213944550214415,0.2292560784153173,0.6242168663955228,-1.0525100099292983,0.7216678967985714,0.2329561179405439,0.004556963922259807,4.613796300106166,1.462783050243388e-08
0.14250000000000002,0.6207560452760307,-1.0654506611229553,0.7219655946845236,0.22760651732858392,0.6215661901194403,-1.068003000043984,0.7222483454927389,0.2313534187100985,0.0046141073478456664,4.613796295369117,9.890781527133186e-09
0.145,0.6180732822466837,-1.0807320146196533,0.7225322196551371,0.225644836799495,0.6188770024756514,-1.0833192716476596,0.722824394866069,0.22943724264646057,0.00466985798471448,4.613796288129202,2.6508661932211908e-09
0.1475,0.615352538950875,-1.095834528342547,0.7230935445424738,0.22336597256844476,0.6161497481184304,-1.0984560530268832,0.7233952560962951,0.22720248665078416,0.00472417233948085,4.613796280051525,-5.426811000575071e-09
0.15,0.6125942652959764,-1.1107555040525763,0.7236487713948087,0.2207649766837641,0.6133848785867333,-1.1134106301286557,0.7239601277215024,0.22464416498961245,0.004777008324234035,4.613796272825522,-1.2652813907720883e-08
