rtol,atol,runtime_s,n_points,t_start,t_end,max_energy_error
0.001,1e-05,0.0040026999995461665,2001,0.0,10.0,0.007428488995014471
0.0003,2.9999999999999997e-06,0.005086100001790328,2001,0.0,10.0,0.003429104475075606
0.0001,1.0000000000000002e-06,0.006980800000746967,2001,0.0,10.0,0.0010442505943766278
3e-05,3.0000000000000004e-07,0.009063600002264138,2001,0.0,10.0,0.0003116703199856907
1e-05,1.0000000000000001e-07,0.011398699996789219,2001,0.0,10.0,0.00010210598011362038
